Shift,Correlation,Shift_Hours,In_95_CI
-35,0.46847637080972304,-110.20320824830246,False
-34,0.492720942174265,-107.05454515549381,False
-33,0.5127074264659736,-103.90588206268518,False
-32,0.5323303404734269,-100.75721896987653,False
-31,0.5505027775582095,-97.60855587706789,False
-30,0.5660920445546815,-94.45989278425925,False
-29,0.5829951778807095,-91.3112296914506,False
-28,0.6037360700296527,-88.16256659864197,False
-27,0.6194596088930798,-85.01390350583333,False
-26,0.6281005287201881,-81.86524041302468,False
-25,0.6373203494238049,-78.71657732021605,False
-24,0.6467526485182175,-75.5679142274074,True
-23,0.656836961651829,-72.41925113459875,True
-22,0.6657838285893583,-69.27058804179012,True
-21,0.6821196514928288,-66.12192494898147,True
-20,0.6956186217802144,-62.97326185617283,True
-19,0.69856913137569,-59.82459876336419,True
-18,0.7005156481039233,-56.675935670555546,True
-17,0.7048895109533364,-53.527272577746906,True
-16,0.7031062540364564,-50.378609484938266,True
-15,0.7011973790892171,-47.22994639212963,True
-14,0.7041589845501626,-44.08128329932099,True
-13,0.7107809659421765,-40.93262020651234,True
-12,0.6992196781978761,-37.7839571137037,True
-11,0.6906985752922393,-34.63529402089506,True
-10,0.687713866964862,-31.486630928086417,True
-9,0.6807441606342493,-28.337967835277773,True
-8,0.6688458346631178,-25.189304742469133,True
-7,0.6623187753111147,-22.040641649660493,True
-6,0.6674254159376666,-18.89197855685185,True
-5,0.6615476952109364,-15.743315464043208,True
-4,0.64107840835677,-12.594652371234567,True
-3,0.6256770340050661,-9.445989278425925,False
-2,0.6221860274434616,-6.297326185617283,False
-1,0.6052791261074767,-3.1486630928086417,False
0,0.589800900685472,0.0,False
1,0.5829060214311687,3.1486630928086417,False
2,0.582862204423724,6.297326185617283,False
