Shift,Correlation,Shift_Hours,In_95_CI
-35,0.1854607004643649,-110.20320824830246,False
-34,0.21448917497333853,-107.05454515549381,False
-33,0.2354621327035801,-103.90588206268518,False
-32,0.2563842345315158,-100.75721896987653,False
-31,0.2784449169109536,-97.60855587706789,False
-30,0.3064499055185377,-94.45989278425925,False
-29,0.32435685732673536,-91.3112296914506,False
-28,0.3540984844846782,-88.16256659864197,False
-27,0.38817962993314753,-85.01390350583333,False
-26,0.42504315929671255,-81.86524041302468,False
-25,0.4557743287477627,-78.71657732021605,False
-24,0.48924160795300553,-75.5679142274074,False
-23,0.5244081422187677,-72.41925113459875,False
-22,0.5519853353506374,-69.27058804179012,True
-21,0.575980401012228,-66.12192494898147,True
-20,0.5979997276192391,-62.97326185617283,True
-19,0.6121450124791818,-59.82459876336419,True
-18,0.6109388758894064,-56.675935670555546,True
-17,0.6076715186565365,-53.527272577746906,True
-16,0.606534747053752,-50.378609484938266,True
-15,0.6057746478505949,-47.22994639212963,True
-14,0.5967595835848631,-44.08128329932099,True
-13,0.596448084786087,-40.93262020651234,True
-12,0.5903988936078146,-37.7839571137037,True
-11,0.594985194063837,-34.63529402089506,True
-10,0.5890680081655172,-31.486630928086417,True
-9,0.5893301966685257,-28.337967835277773,True
-8,0.592023913471752,-25.189304742469133,True
-7,0.6020481470434099,-22.040641649660493,True
-6,0.6113150951798096,-18.89197855685185,True
-5,0.6198750501691227,-15.743315464043208,True
-4,0.6253413409657208,-12.594652371234567,True
-3,0.6270512190004545,-9.445989278425925,True
-2,0.6310930571765866,-6.297326185617283,True
-1,0.6255440810265067,-3.1486630928086417,True
0,0.6225425056213725,0.0,True
1,0.615925498736257,3.1486630928086417,True
2,0.6155101018983771,6.297326185617283,True
