Shift,Correlation,Shift_Hours,In_95_CI
-35,0.6376249461884927,-110.20383365293209,False
-34,0.6446693771135206,-107.05515269141975,True
-33,0.661055831615823,-103.9064717299074,True
-32,0.6729994375554603,-100.75779076839505,True
-31,0.6600485918390472,-97.60910980688271,True
-30,0.6707959931824905,-94.46042884537036,True
-29,0.6780228586221718,-91.31174788385802,True
-28,0.6913981244338858,-88.16306692234568,True
-27,0.6923950891463554,-85.01438596083332,True
-26,0.6914068620288071,-81.86570499932098,True
-25,0.7053760591958563,-78.71702403780864,True
-24,0.6956888360999652,-75.56834307629629,True
-23,0.6845230433033724,-72.41966211478395,True
-22,0.687142796949835,-69.2709811532716,True
-21,0.6932607264945043,-66.12230019175925,True
-20,0.6966470672715731,-62.97361923024691,True
-19,0.6964033043349176,-59.82493826873456,True
-18,0.6976435371779858,-56.676257307222215,True
-17,0.7099161167904614,-53.527576345709875,True
-16,0.6887232430192887,-50.37889538419753,True
-15,0.6866518378601417,-47.23021442268518,True
-14,0.6868503180807137,-44.08153346117284,True
-13,0.6965436938898651,-40.93285249966049,True
-12,0.6959204276407986,-37.784171538148144,True
-11,0.6874303945592146,-34.6354905766358,True
-10,0.6943212451705983,-31.486809615123455,True
-9,0.6942195432862025,-28.338128653611108,True
-8,0.6691182775297392,-25.189447692098764,True
-7,0.6629193747214517,-22.04076673058642,True
-6,0.6572245224937391,-18.892085769074072,True
-5,0.6566958602851429,-15.743404807561728,True
-4,0.6463372071710419,-12.594723846049382,True
-3,0.6369875600402618,-9.446042884537036,False
-2,0.6454202463074878,-6.297361923024691,True
-1,0.6241076145649476,-3.1486809615123454,False
0,0.6049734055170677,0.0,False
1,0.5959188160217108,3.1486809615123454,False
2,0.590471753571763,6.297361923024691,False
