Shift,Correlation,Shift_Hours,In_95_CI
-35,0.42800482297191145,-110.20320824830246,False
-34,0.4592405418882833,-107.05454515549381,False
-33,0.48532822529384095,-103.90588206268518,False
-32,0.5084286534988578,-100.75721896987653,False
-31,0.5313200878694855,-97.60855587706789,False
-30,0.555063493443504,-94.45989278425925,False
-29,0.569140038244977,-91.3112296914506,False
-28,0.586722257252779,-88.16256659864197,False
-27,0.6052686348576387,-85.01390350583333,False
-26,0.6221801557222615,-81.86524041302468,True
-25,0.633511318867116,-78.71657732021605,True
-24,0.6481229639917511,-75.5679142274074,True
-23,0.6640795430060474,-72.41925113459875,True
-22,0.6759374815723921,-69.27058804179012,True
-21,0.6826566854974507,-66.12192494898147,True
-20,0.6906462779126773,-62.97326185617283,True
-19,0.6952183341671823,-59.82459876336419,True
-18,0.6928991332383836,-56.675935670555546,True
-17,0.6901905123497181,-53.527272577746906,True
-16,0.687937794255509,-50.378609484938266,True
-15,0.6870124474355508,-47.22994639212963,True
-14,0.6811832429534329,-44.08128329932099,True
-13,0.6784529230942422,-40.93262020651234,True
-12,0.670024817626831,-37.7839571137037,True
-11,0.6673067559195605,-34.63529402089506,True
-10,0.6596988139821387,-31.486630928086417,True
-9,0.6560238895430809,-28.337967835277773,True
-8,0.6522063823004326,-25.189304742469133,True
-7,0.6504428331407183,-22.040641649660493,True
-6,0.6456503808685571,-18.89197855685185,True
-5,0.6394485708691247,-15.743315464043208,True
-4,0.6295892141517546,-12.594652371234567,True
-3,0.6177929412706534,-9.445989278425925,False
-2,0.6087390315420229,-6.297326185617283,False
-1,0.5967082097093607,-3.1486630928086417,False
0,0.5855050400875076,0.0,False
1,0.5720613764175538,3.1486630928086417,False
2,0.5605756792527076,6.297326185617283,False
