Shift,Correlation,Shift_Hours,In_95_CI
-35,0.5985590900405795,-110.20383365293209,False
-34,0.6000759166844953,-107.05515269141975,False
-33,0.6092726601373634,-103.9064717299074,False
-32,0.6229714428226063,-100.75779076839505,False
-31,0.610961117776692,-97.60910980688271,False
-30,0.623638808176433,-94.46042884537036,False
-29,0.6337659266191398,-91.31174788385802,False
-28,0.6502404840503334,-88.16306692234568,False
-27,0.6582993039059039,-85.01438596083332,False
-26,0.6604423099862567,-81.86570499932098,False
-25,0.6739381725986263,-78.71702403780864,False
-24,0.6740479885513398,-75.56834307629629,False
-23,0.6634763185201459,-72.41966211478395,False
-22,0.6728454751931896,-69.2709811532716,False
-21,0.6817316671301885,-66.12230019175925,False
-20,0.6915570565834565,-62.97361923024691,False
-19,0.6951002098391005,-59.82493826873456,False
-18,0.696484631691361,-56.676257307222215,False
-17,0.7140020483000115,-53.527576345709875,True
-16,0.7040049312792299,-50.37889538419753,True
-15,0.7077605206775763,-47.23021442268518,True
-14,0.718058165449953,-44.08153346117284,True
-13,0.7314564580381023,-40.93285249966049,True
-12,0.742299083673361,-37.784171538148144,True
-11,0.7421859813902787,-34.6354905766358,True
-10,0.7510488234448136,-31.486809615123455,True
-9,0.7590236619430352,-28.338128653611108,True
-8,0.7367633141594807,-25.189447692098764,True
-7,0.7300296301346305,-22.04076673058642,True
-6,0.7234235428916755,-18.892085769074072,True
-5,0.7174471920726357,-15.743404807561728,True
-4,0.7069975556358805,-12.594723846049382,True
-3,0.6935365980865847,-9.446042884537036,False
-2,0.7001314518247999,-6.297361923024691,True
-1,0.6815198025517717,-3.1486809615123454,False
0,0.6530203071503737,0.0,False
1,0.6415029437347545,3.1486809615123454,False
2,0.627215426170549,6.297361923024691,False
