Shift,Correlation,Shift_Hours,In_95_CI
-35,0.2659607961463122,-122.7688896324074,False
-34,0.29189635688338783,-119.26120707148148,False
-33,0.3188687496701719,-115.75352451055555,False
-32,0.34757104760282703,-112.24584194962962,False
-31,0.3770472847279704,-108.73815938870369,False
-30,0.40015787432003713,-105.23047682777776,False
-29,0.41955676484220866,-101.72279426685185,False
-28,0.44325724829644414,-98.21511170592592,False
-27,0.4679927970738106,-94.70742914499999,False
-26,0.4888609405505619,-91.19974658407406,False
-25,0.5086298022386041,-87.69206402314815,False
-24,0.5296078077432941,-84.18438146222222,False
-23,0.5492987497600385,-80.67669890129629,False
-22,0.5642215956775835,-77.16901634037036,False
-21,0.5794419205964493,-73.66133377944443,False
-20,0.597030049763058,-70.15365121851852,False
-19,0.6127064098590631,-66.64596865759259,False
-18,0.6284406265134599,-63.13828609666666,False
-17,0.6415734990632848,-59.63060353574074,False
-16,0.653826469114497,-56.12292097481481,False
-15,0.6610903663248962,-52.61523841388888,False
-14,0.6682792589055778,-49.10755585296296,False
-13,0.6786508565294864,-45.59987329203703,False
-12,0.6873765776258766,-42.09219073111111,False
-11,0.6955305756693937,-38.58450817018518,True
-10,0.708136958395756,-35.07682560925926,True
-9,0.7212810597912601,-31.56914304833333,True
-8,0.7305166688755461,-28.061460487407405,True
-7,0.7363387993248814,-24.55377792648148,True
-6,0.7409549268606779,-21.046095365555555,True
-5,0.7459448416240623,-17.53841280462963,True
-4,0.7479848342564704,-14.030730243703703,True
-3,0.7492441184480815,-10.523047682777777,True
-2,0.750265873224169,-7.015365121851851,True
-1,0.7472492403435727,-3.5076825609259257,True
0,0.7427524039736819,0.0,True
1,0.7404019865273441,3.5076825609259257,True
2,0.7397872329900911,7.015365121851851,True
