timestamp,altitude_diff,altitude_diff_smoothed,slope,AU_Factor,MgII_Index,MgII_Flag,irr_256,irr_284,irr_304,irr_1175,irr_1216,irr_1335,irr_1405,irr_256_flag_flag,irr_284_flag_flag,irr_304_flag_flag,irr_1175_flag_flag,irr_1216_flag_flag,irr_1335_flag_flag,irr_1405_flag_flag
2024-07-28 01:36:52.368420864,0.0876658519468378,0.0568314613369749,-0.0103496610681855,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-28 04:46:54.368420608,0.0240218648660288,0.0464818002687893,-0.0103496610681855,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-28 07:56:22.944444672,0.0564127431334782,0.0361321392006037,-0.0103496610681855,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-28 11:25:38.333333760,0.0824289416678993,0.0257824781324181,-0.0103496610681855,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-28 14:17:00.052631296,0.0090893288720508,0.0154328170642325,-0.0103496610681855,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-28 17:22:54.823529216,-0.1044279201627205,0.0050831559960469,-0.0103496610681855,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-28 20:41:03.600000000,-0.0516392426643506,-0.0052665050721386,-0.0103496610681856,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-28 23:37:40.705882368,0.0328261790709802,-0.0257607558005256,-0.012494885878996,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-29 02:47:07.210526464,-0.0229144932936264,-0.0307305295995049,-0.0110688874595189,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-29 05:57:09.052631552,-0.0795597973631743,-0.0394868012394559,-0.0085970558242848,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-29 09:12:53.285714176,-0.0247989971920787,-0.0540860517294233,-0.0061456101123169,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-29 12:27:13.529411584,0.0345530059907446,-0.0650044024658095,-0.0063123760992343,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-29 15:27:15.368421120,-0.1121220308098713,-0.0572471873105043,-0.0058038208681685,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-29 18:27:17.312500224,-0.1787594075221932,-0.0604043217993797,-0.0067563110315327,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-29 21:47:19.263158016,-0.0405851945207018,-0.0784331530350641,-0.0078236314989432,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30 00:52:21.111110912,-0.0574187881858847,-0.086277672900101,-0.0072199500309992,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30 03:57:23.052631552,-0.1073613147016772,-0.0860556906740288,-0.0066449665386163,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30 07:07:24.947368704,-0.1328492307009696,-0.0933555674619872,-0.0053980070561735,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30 10:35:08.615384832,-0.003584123143753,-0.1096683162183641,-0.0032528584194256,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30 13:27:28.842105088,-0.0926819910197309,-0.1130825741663819,-0.0048913771536837,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30 16:32:30.666667008,-0.2015486269929169,-0.1063985449548742,-0.0067179955884527,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30 19:53:25.588235264,-0.1248932515391061,-0.1200427754268651,-0.0078645693311508,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30 22:57:34.631578880,-0.0766740284242359,-0.1419182633731609,-0.0127666365052075,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31 02:02:36.500000000,-0.1196973954355371,-0.1488494819350045,-0.0132688052694631,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31 05:07:38.368421120,-0.1775127278421564,-0.1509363591889566,-0.0130203061472972,1.0302090087378641,0.3657781318446602,0.0,0.00016113760708737866,0.00017458429592233008,0.0005839495936893204,0.00011695418803883494,0.00930785146116505,0.00028452993766990293,0.00018117108796116503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
