Shift,Correlation,Shift_Hours,In_95_CI
-35,0.6486749660173313,-122.7688896324074,False
-34,0.6565424618669629,-119.26120707148148,False
-33,0.6630090577181446,-115.75352451055555,False
-32,0.6681014518260097,-112.24584194962962,False
-31,0.680745088204039,-108.73815938870369,False
-30,0.6861192155101128,-105.23047682777776,False
-29,0.6961393264042215,-101.72279426685185,False
-28,0.7121400518111454,-98.21511170592592,False
-27,0.7270340804207488,-94.70742914499999,True
-26,0.7320934052185845,-91.19974658407406,True
-25,0.7329111771431696,-87.69206402314815,True
-24,0.7301257434097921,-84.18438146222222,True
-23,0.7335876548752115,-80.67669890129629,True
-22,0.7358493806741793,-77.16901634037036,True
-21,0.745255408525579,-73.66133377944443,True
-20,0.7495754976708541,-70.15365121851852,True
-19,0.7606190715395839,-66.64596865759259,True
-18,0.7717744437630286,-63.13828609666666,True
-17,0.7701601943825573,-59.63060353574074,True
-16,0.7601828753509583,-56.12292097481481,True
-15,0.750626611189644,-52.61523841388888,True
-14,0.7428492689364773,-49.10755585296296,True
-13,0.731277957024277,-45.59987329203703,True
-12,0.7134970088157554,-42.09219073111111,False
-11,0.7026313892939657,-38.58450817018518,False
-10,0.6870617663356187,-35.07682560925926,False
-9,0.6704444252824224,-31.56914304833333,False
-8,0.6501399081455013,-28.061460487407405,False
-7,0.6281459043554423,-24.55377792648148,False
-6,0.6066435726340976,-21.046095365555555,False
-5,0.5875437192604972,-17.53841280462963,False
-4,0.5642681895207219,-14.030730243703703,False
-3,0.5380842176050835,-10.523047682777777,False
-2,0.5093802175060578,-7.015365121851851,False
-1,0.4792427096907858,-3.5076825609259257,False
0,0.44955619727691226,0.0,False
1,0.42444893375917986,3.5076825609259257,False
2,0.4056513108026291,7.015365121851851,False
