Shift,Correlation,Shift_Hours,In_95_CI
-35,0.4416369725946615,-110.5078378757716,False
-34,0.4398762160386648,-107.35047107932098,False
-33,0.4465833105367094,-104.19310428287037,False
-32,0.4557301521135075,-101.03573748641975,False
-31,0.4684840292575896,-97.87837068996913,False
-30,0.49078517923622383,-94.72100389351851,False
-29,0.5298986616070229,-91.5636370970679,False
-28,0.5631424600206542,-88.40627030061728,False
-27,0.5790177014237903,-85.24890350416666,False
-26,0.5861344975528593,-82.09153670771605,False
-25,0.602717083635145,-78.93416991126543,False
-24,0.6031527554419099,-75.77680311481481,False
-23,0.6163084298847114,-72.6194363183642,False
-22,0.6458175500122236,-69.46206952191358,False
-21,0.6890503428204707,-66.30470272546296,True
-20,0.6957871981869261,-63.14733592901234,True
-19,0.7080453567052121,-59.989969132561725,True
-18,0.7294899780582005,-56.83260233611111,True
-17,0.7411901165744066,-53.67523553966049,True
-16,0.7228332173352324,-50.517868743209874,True
-15,0.7205747977668222,-47.36050194675926,True
-14,0.7255323107163194,-44.20313515030864,True
-13,0.7125943536705656,-41.04576835385802,True
-12,0.6735655253073014,-37.888401557407406,False
-11,0.6481912017096273,-34.73103476095679,False
-10,0.6412140038127067,-31.57366796450617,False
-9,0.6289175702927127,-28.416301168055554,False
-8,0.610800396394769,-25.258934371604937,False
-7,0.6122591590020613,-22.10156757515432,False
-6,0.6196687333110861,-18.944200778703703,False
-5,0.6130291674005355,-15.786833982253086,False
-4,0.593154077623826,-12.629467185802469,False
-3,0.5554639017778358,-9.472100389351851,False
-2,0.5294640215031251,-6.314733592901234,False
-1,0.4905758025137849,-3.157366796450617,False
0,0.46078085226138443,0.0,False
1,0.4347527439924355,3.157366796450617,False
2,0.4172426846915875,6.314733592901234,False
