Shift,Correlation,Shift_Hours,In_95_CI
-35,0.6408460610450177,-110.20383365293209,False
-34,0.6469802850303457,-107.05515269141975,False
-33,0.6581136858371651,-103.9064717299074,True
-32,0.6684667185013645,-100.75779076839505,True
-31,0.6602891327558645,-97.60910980688271,True
-30,0.6696359258282811,-94.46042884537036,True
-29,0.6755198761423252,-91.31174788385802,True
-28,0.6863744152843858,-88.16306692234568,True
-27,0.6904149667439728,-85.01438596083332,True
-26,0.6929388603921393,-81.86570499932098,True
-25,0.7028216122324286,-78.71702403780864,True
-24,0.6994619612791322,-75.56834307629629,True
-23,0.6906920593717099,-72.41966211478395,True
-22,0.6942937796084526,-69.2709811532716,True
-21,0.7002219807560529,-66.12230019175925,True
-20,0.7056033985328745,-62.97361923024691,True
-19,0.7095727609995184,-59.82493826873456,True
-18,0.7113562359761573,-56.676257307222215,True
-17,0.7216941978865102,-53.527576345709875,True
-16,0.7082424419429018,-50.37889538419753,True
-15,0.7064125348509199,-47.23021442268518,True
-14,0.7074651088120425,-44.08153346117284,True
-13,0.7137421674440966,-40.93285249966049,True
-12,0.7125749657883071,-37.784171538148144,True
-11,0.7058111698661353,-34.6354905766358,True
-10,0.7074939396341601,-31.486809615123455,True
-9,0.7059888837212469,-28.338128653611108,True
-8,0.6831811737907555,-25.189447692098764,True
-7,0.6732041584558888,-22.04076673058642,True
-6,0.6636715645787926,-18.892085769074072,True
-5,0.6561309999982714,-15.743404807561728,True
-4,0.6433286588320128,-12.594723846049382,False
-3,0.6310006348205818,-9.446042884537036,False
-2,0.6313809781524103,-6.297361923024691,False
-1,0.6127676935750149,-3.1486809615123454,False
0,0.5923239164112386,0.0,False
1,0.5808611950035941,3.1486809615123454,False
2,0.5713069723723125,6.297361923024691,False
