datetime,E_J2_mean,n_samples,dEdt_Jkg_per_day,dadt_m_per_day,se_E_Jkg,se_dEdt_Jkg_per_day
2024-03-31 12:00:00+00:00,-28945196.42253807,15,,,124.85219503017473,
2024-03-31 15:00:00+00:00,-28945371.311845794,18,-830.2171625345946,-197.34287357082118,106.69876210067218,806.6656530814832
2024-03-31 18:00:00+00:00,-28945403.9768287,16,770.1920572072269,183.08650193412106,158.3706779599153,578.139901354671
2024-03-31 21:00:00+00:00,-28945178.763831493,18,504.778155207634,119.95721664751092,97.4973500272364,740.6442009512011
2024-04-01 00:00:00+00:00,-28945277.7822899,18,-1488.8424129039047,-353.8045097975634,95.93405489023176,683.1414657269647
2024-04-01 03:00:00+00:00,-28945550.97443472,18,-1329.4688579291105,-315.97704778967653,140.220926130484,564.243044279035
2024-04-01 06:00:00+00:00,-28945610.149504382,17,-235.38577449321747,-55.94700474476467,103.41564400948997,684.4894881241942
2024-04-01 09:00:00+00:00,-28945609.82087834,16,104.99859081208706,24.95238902594119,98.08648268055049,654.4394447345397
2024-04-01 12:00:00+00:00,-28945583.89985668,18,-812.8773372024298,-193.16749743864747,126.78087888412325,589.1820817583966
2024-04-01 15:00:00+00:00,-28945813.040212642,18,-1608.669356584549,-382.2694365055882,109.88636065013002,770.5783710202921
2024-04-01 18:00:00+00:00,-28945986.067195825,13,409.05242270231247,97.24922564851286,145.04670925993878,586.903850529908
2024-04-01 21:00:00+00:00,-28945710.777106967,18,1332.1005247235298,316.63363440721605,97.22908954369879,697.9852722334912
2024-04-02 00:00:00+00:00,-28945653.042064644,18,-929.5650554597378,-220.92973859626872,97.0073046156401,577.636310986725
2024-04-02 03:00:00+00:00,-28945943.16837083,18,-946.8135314434767,-224.98832028257732,106.77305784771002,575.569013948443
2024-04-02 06:00:00+00:00,-28945889.745447505,17,223.25416260957718,53.05575868967637,106.27588374042035,658.3717969102432
2024-04-02 09:00:00+00:00,-28945887.35483018,15,118.43208688497543,28.138243475161904,125.26113943787988,608.6648022480143
2024-04-02 12:00:00+00:00,-28945860.137425784,18,-932.6913855224848,-221.69402679887648,108.90357720786106,674.943054853348
2024-04-02 15:00:00+00:00,-28946120.52767656,18,-959.9658682495356,-228.14404800502228,113.05487562527817,563.7650147386944
2024-04-02 18:00:00+00:00,-28946100.128892846,15,605.206526696682,143.8572176503546,89.46757994681067,594.6362334143886
2024-04-02 21:00:00+00:00,-28945969.226044886,16,217.6864377856255,51.73966380377364,96.53036168963155,498.2268542649306
2024-04-03 00:00:00+00:00,-28946045.7072834,18,-1539.5631345659494,-365.9126108772903,86.6598351768659,591.6941832064749
2024-04-03 03:00:00+00:00,-28946354.116828527,18,-710.7950800657272,-168.94438001850727,112.08597001673542,570.7385845536902
2024-04-03 06:00:00+00:00,-28946223.406053416,16,-20.64310309290886,-4.904671719245057,113.35334671179893,966.5737109840533
2024-04-03 09:00:00+00:00,-28946359.2776043,12,-71.8095505386591,-17.064572783041278,214.07541077445174,641.2638482108824
2024-04-03 12:00:00+00:00,-28946241.35844105,17,-206.82039228081706,-49.14445154767894,113.36766063619754,973.1719275379297
2024-04-03 15:00:00+00:00,-28946410.98270237,17,-805.5297197401524,-191.4588159519401,115.59927999772684,665.363394636716
2024-04-03 18:00:00+00:00,-28946442.740870986,16,189.34573367238048,45.00918749515796,121.72531147847533,594.7993566089974
2024-04-03 21:00:00+00:00,-28946363.646268953,16,630.2148521542549,149.79448283323376,93.5331418691363,640.1300916220875
2024-04-04 00:00:00+00:00,-28946285.187157948,18,-596.3370891958475,-141.70073914615827,103.89108206662665,581.4117795550898
2024-04-04 03:00:00+00:00,-28946512.73054125,18,-1717.4429485052824,-408.149587770907,111.26108915486375,714.3243225411455
2024-04-04 06:00:00+00:00,-28946714.547895074,16,815.7741999328136,193.84268990001235,145.2509739309589,698.1200780432931
2024-04-04 09:00:00+00:00,-28946308.78699127,16,1128.106429234147,268.05567754341195,134.46820349257965,747.0463558219947
2024-04-04 12:00:00+00:00,-28946432.521287765,18,-1722.6797676235437,-409.3518343269461,117.3969577173554,749.2551660751847
2024-04-04 15:00:00+00:00,-28946739.456933174,15,-644.7555653452873,-153.23904436852376,130.40229577206543,815.2778978250235
2024-04-04 18:00:00+00:00,-28946593.7101791,15,936.0982535481453,222.50124103096954,166.61432257262223,659.0951464909677
2024-04-04 21:00:00+00:00,-28946505.432369787,18,-1247.3227550387383,-296.46672150101904,100.72557776141896,866.3760993760014
2024-04-05 00:00:00+00:00,-28946905.54086786,18,-1149.3575816750526,-273.15135101525783,138.39306020097118,743.772900635769
2024-04-05 03:00:00+00:00,-28946792.771765206,18,388.9351870715618,92.41739526115717,156.29856354790164,748.5145819802214
2024-04-05 06:00:00+00:00,-28946808.307071093,14,855.6395852714776,203.2899955035904,125.9543205016186,728.4346576455548
2024-04-05 09:00:00+00:00,-28946578.86186889,14,124.77797016501427,29.65043782221365,93.45760903512534,708.1184915235921
2024-04-05 12:00:00+00:00,-28946777.112578552,18,-2380.3751572221518,-565.7614812929761,124.39853907634331,769.8349670018214
2024-04-05 15:00:00+00:00,-28947173.955658194,14,-996.6963335424662,-236.85989839469818,168.2439971874364,876.8479945898799
2024-04-05 18:00:00+00:00,-28947026.286661938,9,1401.7378949373958,333.07172546464807,180.4962709495403,1075.85246373215
2024-04-05 21:00:00+00:00,-28946823.52118446,15,453.6006047874689,107.79112015439276,209.84545537800543,796.6140888360286
2024-04-06 00:00:00+00:00,-28946912.88651074,18,-1698.132487371564,-403.56531854658874,84.16187724595757,964.268119905031
2024-04-06 03:00:00+00:00,-28947248.054306302,18,-1168.229314610362,-277.6534465783816,118.65158152663405,720.859512361395
2024-04-06 06:00:00+00:00,-28947204.943839394,13,3804.867529526353,904.22025154982,159.3555167026094,1686.2038965545933
