satellite,n,pearson_r,pearson_p,spearman_r,spearman_p,new_proxy_spearman_r_ref
GRACE-FO,200,0.12485276141112711,0.0781510450554618,0.6950663766594165,3.424127013248706e-30,0.906
Swarm_A,200,0.11494640624028252,0.10506587587187224,0.6729603240081002,9.8402642066612e-28,0.924
Swarm_B,200,0.1402825857048524,0.04756119357886229,0.6207170179254482,1.0843042114859967e-22,0.852
