window,n,pearson_r,pearson_p,spearman_r,spearman_p
-1,1172,0.42135178994704037,1.2144605298774732e-51,0.6262452500879349,1.1953720318701975e-128
5,1172,0.0336307673101879,0.2499672708889793,-0.126311402033404,1.4445857755112096e-05
9,1172,-0.0479360750227932,0.1009513895804831,-0.3421087534703682,1.6099078182634778e-33
13,1172,-0.0877698710293971,0.0026353147941765,-0.4127710570995782,1.9706772114942552e-49
21,1172,-0.1184932318754739,4.771212701236409e-05,-0.4328092334322331,1.0755143778005148e-54
39,1172,-0.1356020933886756,3.1798321925775845e-06,-0.3748548026541303,2.0928010983399195e-40
