,E_J2,gps_alt,tle_alt,delta_h
E_J2,1.0,-0.3773529197617669,-0.17484584258270952,0.5542485202380532
gps_alt,-0.3773529197617669,1.0,0.8978301964930173,-0.5013846178600418
tle_alt,-0.17484584258270952,0.8978301964930173,1.0,-0.1356286232233461
delta_h,0.5542485202380532,-0.5013846178600418,-0.1356286232233461,1.0
