gap_start,gap_end,duration_hours
2024-05-20 12:50:11+00:00,2024-05-29 13:12:22+00:00,216.3697222222222
2024-09-09 23:57:35+00:00,2024-09-12 00:08:04+00:00,48.17472222222222
2024-10-26 11:35:32+00:00,2024-10-27 13:35:47+00:00,26.004166666666666
2024-10-03 11:29:55+00:00,2024-10-04 13:20:11+00:00,25.837777777777777
2024-10-20 13:34:05+00:00,2024-10-21 11:44:18+00:00,22.170277777777777
2024-11-18 13:01:08+00:00,2024-11-19 09:51:21+00:00,20.836944444444445
2024-06-18 15:27:16+00:00,2024-06-19 11:47:28+00:00,20.336666666666666
2024-07-24 15:16:02+00:00,2024-07-25 11:06:14+00:00,19.836666666666666
2024-06-22 17:18:15+00:00,2024-06-23 11:28:26+00:00,18.169722222222223
2024-07-04 17:51:11+00:00,2024-07-05 12:01:22+00:00,18.169722222222223
2024-07-28 18:37:02+00:00,2024-07-29 11:07:13+00:00,16.503055555555555
2024-07-07 18:21:55+00:00,2024-07-08 10:52:05+00:00,16.502777777777776
2024-07-22 19:15:35+00:00,2024-07-23 11:35:45+00:00,16.336111111111112
2024-06-27 18:39:29+00:00,2024-06-28 10:59:39+00:00,16.336111111111112
2024-08-09 18:49:58+00:00,2024-08-10 11:00:08+00:00,16.169444444444444
2024-06-30 19:10:14+00:00,2024-07-01 11:20:23+00:00,16.169166666666666
2024-09-19 21:16:34+00:00,2024-09-20 11:46:43+00:00,14.5025
2024-04-17 18:14:56+00:00,2024-04-18 01:35:00+00:00,7.334444444444444
