date,satellite,old_proxy_ddeltahdt_m_per_day,rho_mean,alt_mean_km,n_samples_density
2024-11-23 00:00:00+00:00,GRACE-FO,49.608579416605316,1.8050969132569445e-12,482.68364207673613,8640
2024-11-24 00:00:00+00:00,GRACE-FO,39.3442040772882,1.7918517223483797e-12,482.397100169676,8640
2024-11-25 00:00:00+00:00,GRACE-FO,29.293980237812463,2.0517304010648145e-12,482.3869491171297,8640
2024-11-26 00:00:00+00:00,GRACE-FO,82.21816827142204,1.9324153277581018e-12,482.6535548972222,8640
2024-11-27 00:00:00+00:00,GRACE-FO,60.27933645922444,1.942014981969908e-12,482.25750036979167,8640
2024-11-28 00:00:00+00:00,GRACE-FO,52.102652605014974,1.9874386888831016e-12,482.08467997754633,8640
2024-11-29 00:00:00+00:00,GRACE-FO,87.28209537247979,2.0504583734282405e-12,482.5855824335648,8640
2024-04-02 00:00:00+00:00,Swarm_A,-50.088265410735744,9.133951501770834e-13,484.7361794170139,2880
2024-04-03 00:00:00+00:00,Swarm_A,-60.711612775067756,7.85942310013889e-13,484.63744545138894,2880
2024-04-04 00:00:00+00:00,Swarm_A,-79.52039542172228,8.143756941041666e-13,484.49593584201386,2880
2024-04-05 00:00:00+00:00,Swarm_A,-77.31262877843415,8.999571481493056e-13,484.47055465902775,2880
2024-04-06 00:00:00+00:00,Swarm_A,-64.86154714104752,9.138454548993057e-13,484.6983375208333,2880
2024-04-07 00:00:00+00:00,Swarm_A,-79.97063045778147,8.383753835659722e-13,484.3435102177084,2880
2024-04-08 00:00:00+00:00,Swarm_A,-52.985820404003235,8.661809766354168e-13,484.3129799336806,2880
2024-04-09 00:00:00+00:00,Swarm_A,-70.88839136071407,8.73754777013889e-13,484.6315742517361,2880
2024-04-10 00:00:00+00:00,Swarm_A,-65.76539157693875,9.067376732743057e-13,484.23759921631944,2880
2024-04-11 00:00:00+00:00,Swarm_A,-72.20925394563795,9.155389628854166e-13,484.23547654687496,2880
2024-04-12 00:00:00+00:00,Swarm_A,-61.685175529873945,9.592534012604166e-13,484.4033180690973,2880
2024-04-13 00:00:00+00:00,Swarm_A,-37.49707384931104,1.0585240712291669e-12,484.2400021347223,2880
2024-04-14 00:00:00+00:00,Swarm_A,-30.88250052417555,1.2120245488125e-12,484.1233520802083,2880
2024-04-15 00:00:00+00:00,Swarm_A,-18.8317776635145,1.3950246769563493e-12,484.0847929992064,2520
2024-04-16 00:00:00+00:00,Swarm_A,-1.0448820433707033,1.9495946375902776e-12,484.24077504375003,2880
2024-04-17 00:00:00+00:00,Swarm_A,23.16151842812651,1.7346070869583336e-12,483.8855690635417,2880
2024-04-18 00:00:00+00:00,Swarm_A,14.117413788033321,1.5904460622395834e-12,483.8044905177084,2880
2024-04-19 00:00:00+00:00,Swarm_A,54.12336646638999,2.210242997559028e-12,484.09252797013886,2880
2024-04-20 00:00:00+00:00,Swarm_A,96.48560156993724,1.9812627835069443e-12,483.6357072996528,2880
2024-04-21 00:00:00+00:00,Swarm_A,23.971745046586502,1.969453865625e-12,483.5752156288194,2880
2024-04-22 00:00:00+00:00,Swarm_A,55.393112788509946,1.8358567575e-12,483.76089543715284,2880
2024-04-23 00:00:00+00:00,Swarm_A,25.261630814006676,1.7786755261006948e-12,483.4742899034722,2880
2024-04-24 00:00:00+00:00,Swarm_A,65.34322045611619,1.6951520236909722e-12,483.38518256631943,2880
2024-04-25 00:00:00+00:00,Swarm_A,8.871894695260064,1.5407998255625e-12,483.394230415625,2880
2024-04-26 00:00:00+00:00,Swarm_A,8.100727076539304,1.747746067767361e-12,483.4145373201389,2880
2024-04-27 00:00:00+00:00,Swarm_A,33.974718162588566,1.5122757781076389e-12,483.1665092791666,2880
2024-04-28 00:00:00+00:00,Swarm_A,0.005347871045557895,1.1148865183402777e-12,483.09304601909724,2880
2024-04-29 00:00:00+00:00,Swarm_A,-59.05413902981038,9.012491124930556e-13,483.37023721006943,2880
2024-04-30 00:00:00+00:00,Swarm_A,-59.502760685121395,8.034775386354168e-13,483.00219676909717,2880
2024-05-01 00:00:00+00:00,Swarm_A,207.9588415380229,9.06618689003472e-13,482.95743689513887,2880
2024-05-02 00:00:00+00:00,Swarm_A,-82.7564031489132,1.0317821860972222e-12,483.27374391458335,2880
2024-05-03 00:00:00+00:00,Swarm_A,-55.32694177512604,9.283934851944445e-13,482.8986332041667,2880
2024-05-04 00:00:00+00:00,Swarm_A,-71.38725923938904,7.312088744548611e-13,482.87580203263894,2880
2024-05-05 00:00:00+00:00,Swarm_A,-108.9557117454579,8.256106586458334e-13,483.0559122038195,2880
2024-05-06 00:00:00+00:00,Swarm_A,-69.70711343816608,1.0878337941979169e-12,482.8954460243056,2880
2024-05-07 00:00:00+00:00,Swarm_A,-79.53388770736834,9.485480299861111e-13,482.7851794309028,2880
2024-05-08 00:00:00+00:00,Swarm_A,-84.71073588352351,1.0289881609930556e-12,482.7874026576389,2880
2024-05-09 00:00:00+00:00,Swarm_A,-46.21017897562985,1.0984229915e-12,482.9067776767361,2880
2024-05-10 00:00:00+00:00,Swarm_A,-66.5259545815573,1.6455326564618056e-12,482.637164003125,2880
2024-05-11 00:00:00+00:00,Swarm_A,192.0935785905939,3.740308905868056e-12,482.4645160642362,2880
2024-05-12 00:00:00+00:00,Swarm_A,84.87579196528317,1.2488936245e-12,482.7228844458333,2880
2024-05-13 00:00:00+00:00,Swarm_A,-55.22577150981893,1.35693407528125e-12,482.3243420979167,2880
2024-05-14 00:00:00+00:00,Swarm_A,-23.967148487650572,1.3617192233402778e-12,482.25400541944447,2880
2024-05-15 00:00:00+00:00,Swarm_A,-40.85841766382915,1.4938982782430556e-12,482.54655083263884,2880
2024-05-16 00:00:00+00:00,Swarm_A,16.98594020349934,1.8928250514861112e-12,482.1558357934028,2880
2024-05-17 00:00:00+00:00,Swarm_A,33.196299283758876,1.870909276059028e-12,482.0799153802084,2880
2024-05-18 00:00:00+00:00,Swarm_A,56.954697531783225,2.045505814392361e-12,482.2157774822916,2880
2024-05-19 00:00:00+00:00,Swarm_A,26.838145330020964,1.6956814954895832e-12,482.00450828923607,2880
2024-05-20 00:00:00+00:00,Swarm_A,1.292400702716634,1.5444564567083332e-12,481.8710982600695,2880
2024-05-30 00:00:00+00:00,Swarm_A,-132.1824883609537,9.676349251052632e-13,481.35034580666667,2850
2024-05-31 00:00:00+00:00,Swarm_A,44.922668140307984,1.0224844134236112e-12,481.5982090826389,2880
2024-06-01 00:00:00+00:00,Swarm_A,334.65777235426253,9.560628057256946e-13,481.29482272534716,2880
2024-06-02 00:00:00+00:00,Swarm_A,-9.48041225,9.722593564131945e-13,481.23714904201387,2880
2024-06-03 00:00:00+00:00,Swarm_A,-11.221490464285722,1.1290573934826389e-12,481.3697749888889,2880
2024-06-04 00:00:00+00:00,Swarm_A,19.30113121428573,1.2769993331840278e-12,481.2555814190972,2880
2024-06-05 00:00:00+00:00,Swarm_A,12.721477499999995,1.2719116268368058e-12,481.0984780309028,2880
2024-06-06 00:00:00+00:00,Swarm_A,19.725447285714292,1.3094697550034725e-12,481.1010907180555,2880
2024-06-07 00:00:00+00:00,Swarm_A,31.681512339285707,1.419940399826389e-12,481.2098494170139,2880
2024-06-08 00:00:00+00:00,Swarm_A,48.290409375,1.4655181000034724e-12,480.90748723993056,2880
