timestamp,old_gps_average_altitude,old_tle_average_altitude,old_altitude_diff,center_time,n_raw,gps_a_msl_raw,gps_b_ellipsoidal_h_ell,gps_c_r_minus_R0_geoid_corrected,gps_cprime_r_minus_R0_asused,tle_i_r_minus_R0_asused,tle_ii_geodetic_height_correct,D2_gps_cprime,D2_tle_i,D_common_gps_cprime,D_common_tle_i,alpha_binned,delta_h_old_binned,delta_h_degeoided_binned,beta_binned,gamma_binned
2024-06-27 01:39:19.315789568+00:00,498.0554513437151,498.26351780845874,0.2080664647436947,2024-06-27 01:29:18+00:00,19.0,508.5734649254255,508.57836054241926,498.0534770759172,498.04858146797733,498.26556620100484,508.79672548659187,498.04856232917814,498.26657096778416,498.04858146797733,498.26556620100484,0.004895607939886304,0.21698473302751609,0.21208912508762978,-0.001023905578506401,0.0
2024-06-27 04:49:21.263158016+00:00,498.0877695828058,498.246402600173,0.1586330173672649,2024-06-27 04:39:20+00:00,19.0,508.6343887139986,508.6213863013653,498.08988520187535,498.10288760358577,498.2478856630932,508.78557929742414,498.10405638804593,498.2500800056095,498.10288760358577,498.2478856630932,-0.013002401710423328,0.1449980595074294,0.15800046121785272,-0.0010255580561420174,0.0
2024-06-27 08:07:30.812499968+00:00,497.69552233004697,497.86612929065694,0.1706069606099731,2024-06-27 07:50:02+00:00,15.0,510.6608660148452,510.66294602667057,497.6704018812886,497.66832209882557,497.845755958462,510.9081908496492,498.0329684308784,498.2247915797965,497.66832209882557,497.845755958462,0.00207978246305629,0.17743385963643732,0.17535407717338103,-0.014389289281666606,0.0
2024-06-27 11:13:51.833333504+00:00,497.9474183209298,498.15711468269006,0.2096963617602227,2024-06-27 10:52:44+00:00,18.0,508.7296895818493,508.7398016311224,497.9506296688905,497.94051760793934,498.16023188191815,509.01157028845864,497.9777492377457,498.20675852885705,497.94051760793934,498.16023188191815,0.01011206095114403,0.21971427397880916,0.20960221302766513,-0.009295017132558314,0.0
2024-06-27 14:09:26.941176320+00:00,498.0927355514778,498.2943919335916,0.2016563821137538,2024-06-27 13:59:26+00:00,19.0,508.4924216047487,508.4950018107147,498.00475847415316,498.00217827673646,498.199059981855,508.69209998101286,497.9953224934287,498.1927710478927,498.00217827673646,498.199059981855,0.002580197416705232,0.19688170511852832,0.19430150770182308,-0.0005668493454322743,0.0
2024-06-27 17:19:28.812499968+00:00,498.2823962225,498.4178796453349,0.1354834228349091,2024-06-27 17:19:28+00:00,16.0,507.44155607307397,507.42028362776045,498.25740164405175,498.2786740744503,498.4172586814669,507.3718507435042,498.07867417489325,498.1822949471535,498.2786740744503,498.4172586814669,-0.021272430398539655,0.1385846070165826,0.15985703741512225,0.03496383475635412,0.0
2024-06-27 21:07:12.076923136+00:00,497.98510805155706,498.2020294947404,0.2169214431833666,,,,,,,,,,,,,,,,,
2024-06-27 23:49:32.105263104+00:00,497.92161816140407,498.1457101906124,0.2240920292082933,,,,,,,,,,,,,,,,,
2024-06-28 02:57:20.611111168+00:00,498.05333274478943,498.2276279803593,0.1742952355699003,,,,,,,,,,,,,,,,,
2024-06-28 09:13:28.230768896+00:00,497.32631449743286,497.4728253599761,0.1465108625432662,,,,,,,,,,,,,,,,,
