datetime,E_J2_mean,dadt_new_m_per_day,altitude_diff_km,ddeltahdt_old_m_per_day
2024-04-01 00:00:00+00:00,-28945277.7822899,-353.8045097975634,0.8764059449361525,
2024-04-01 03:00:00+00:00,-28945550.97443472,-315.97704778967653,0.8280616043493865,
2024-04-01 09:00:00+00:00,-28945609.82087834,24.95238902594119,0.8340478007220895,
2024-04-01 12:00:00+00:00,-28945583.89985668,-193.16749743864747,0.8984292130136851,-166.5817748094014
2024-04-01 15:00:00+00:00,-28945813.040212642,-382.2694365055882,0.7924023570197392,-455.4122004847158
2024-04-01 18:00:00+00:00,-28945986.067195825,97.24922564851286,0.7845761628925061,324.1623716637605
2024-04-01 21:00:00+00:00,-28945710.777106967,316.63363440721605,0.8734429499356793,258.18794880183304
2024-04-02 00:00:00+00:00,-28945653.042064644,-220.92973859626872,0.8491231500929644,-262.2238498877323
2024-04-02 03:00:00+00:00,-28945943.16837083,-224.98832028257732,0.8078869874637462,-257.08104591240044
2024-04-02 06:00:00+00:00,-28945889.745447505,53.05575868967637,0.7848528886148642,-345.72752259350636
2024-04-02 09:00:00+00:00,-28945887.35483018,28.138243475161904,0.7214551068153696,99.68318326104963
2024-04-02 12:00:00+00:00,-28945860.137425784,-221.69402679887648,0.8097736844301267,45.7146367941732
2024-04-02 15:00:00+00:00,-28946120.52767656,-228.14404800502228,0.7328837660139129,-35.37648908150004
2024-04-02 18:00:00+00:00,-28946100.128892846,143.8572176503546,0.8009295621597516,351.693153554379
2024-04-02 21:00:00+00:00,-28945969.226044886,51.73966380377364,0.8208070544025077,-71.94665708811954
2024-04-03 00:00:00+00:00,-28946045.7072834,-365.9126108772903,0.7829428978877218,-428.2160243963062
2024-04-03 03:00:00+00:00,-28946354.116828527,-168.94438001850727,0.7137530483034311,-191.32191806625087
2024-04-03 06:00:00+00:00,-28946223.406053416,-4.904671719245057,0.735112418371159,375.29791390352324
2024-04-03 09:00:00+00:00,-28946359.2776043,-17.064572783041278,0.8075775267793119,-67.83113777737526
2024-04-03 12:00:00+00:00,-28946241.35844105,-49.14445154767894,0.7181546339268152,-642.0415529182719
2024-04-03 15:00:00+00:00,-28946410.98270237,-191.4588159519401,0.647067138549744,
2024-04-03 21:00:00+00:00,-28946363.646268953,149.79448283323376,0.7071592217504303,
2024-04-04 00:00:00+00:00,-28946285.187157948,-141.70073914615827,0.7171672592282903,-163.9411926730645
2024-04-04 03:00:00+00:00,-28946512.73054125,-408.149587770907,0.6661739235821642,-363.43155995041343
2024-04-04 06:00:00+00:00,-28946714.547895074,193.84268990001235,0.6263093692406869,-19.65130663097625
2024-04-04 09:00:00+00:00,-28946308.78699127,268.05567754341195,0.6612610969244201,158.5218226359757
2024-04-04 12:00:00+00:00,-28946432.521287765,-409.3518343269461,0.6659398248996808,-317.1575363132888
2024-04-04 15:00:00+00:00,-28946739.456933174,-153.23904436852376,0.5819717128460979,-132.19585023466607
2024-04-04 18:00:00+00:00,-28946593.7101791,222.50124103096954,0.6328908623410143,288.68149004188126
2024-04-04 21:00:00+00:00,-28946505.432369787,-296.46672150101904,0.6541420853565683,-41.465941960041164
2024-04-05 00:00:00+00:00,-28946905.54086786,-273.15135101525783,0.622524376851004,-383.70141084442366
2024-04-05 03:00:00+00:00,-28946792.771765206,92.41739526115717,0.5582167326454623,
2024-04-05 09:00:00+00:00,-28946578.86186889,29.65043782221365,0.6242367185716944,
2024-04-05 12:00:00+00:00,-28946777.112578552,-565.7614812929761,0.5681036412016738,-553.117974569659
2024-04-05 15:00:00+00:00,-28947173.955658194,-236.85989839469818,0.4859572249292796,
2024-04-05 21:00:00+00:00,-28946823.52118446,107.79112015439276,0.5814776339444734,
2024-04-06 00:00:00+00:00,-28946912.88651074,-403.56531854658874,0.5370584700417567,-441.0939087492807
2024-04-06 03:00:00+00:00,-28947248.054306302,-277.6534465783816,0.4712041567571532,
2024-04-06 12:00:00+00:00,-28947229.52584033,-1218.5390418361828,0.5502773647195909,
