bin_left,bin_right,count
4,5,10
5,6,79
6,7,38
7,8,26
8,9,37
9,10,38
10,11,55
11,12,79
12,13,111
13,14,153
14,15,222
15,16,312
16,17,455
17,18,723
18,19,1054
19,20,1360
20,21,1754
21,22,2069
22,23,2345
23,24,2583
24,25,2697
25,26,2639
26,27,2711
27,28,2539
28,29,2116
29,30,1618
30,31,874
31,32,401
32,33,137
33,34,23
34,35,6
35,36,3
