wavelength,lag_hours,spearman_r,n
irr_256,0,0.02051848186929985,1694
irr_256,3,0.02804133486165885,1693
irr_256,6,0.039890294019836306,1692
irr_256,9,0.05393755016616396,1691
irr_256,12,0.06355324799572327,1690
irr_256,15,0.06787249183939224,1689
irr_256,18,0.06924823592783233,1688
irr_256,21,0.07256721659880606,1687
irr_256,24,0.07618274638145002,1686
irr_256,27,0.07325505023059295,1685
irr_256,30,0.0628983703176801,1684
irr_256,33,0.048922532010192046,1683
irr_256,36,0.03836523974535231,1682
irr_256,39,0.03459619785556799,1681
irr_256,42,0.036573795149850485,1680
irr_256,45,0.039001038154537065,1679
irr_256,48,0.039699419426501,1679
irr_256,51,0.04388529056613952,1679
irr_256,54,0.05110393288879048,1679
irr_256,57,0.06467132577009475,1679
irr_256,60,0.07805689963062709,1679
irr_256,63,0.08349071728791464,1678
irr_256,66,0.08225596549175597,1677
irr_256,69,0.07860027754062086,1675
irr_256,72,0.07852647975968831,1673
irr_256,75,0.08105552186668041,1671
irr_256,78,0.0798649632727596,1669
irr_256,81,0.07109670934615275,1667
irr_256,84,0.05824444014217823,1666
irr_256,87,0.048542405527699645,1665
irr_256,90,0.03980196661345189,1664
irr_256,93,0.028210188714548303,1664
irr_256,96,0.011423976302960067,1664
irr_256,99,-0.006233620409808023,1664
irr_256,102,-0.023818627591928855,1664
irr_256,105,-0.03886873627177296,1664
irr_256,108,-0.04969614284481994,1664
irr_256,111,-0.055601292226402664,1663
irr_256,114,-0.06215310385963399,1661
irr_256,117,-0.07035096806537856,1659
irr_256,120,-0.07797185969492094,1657
irr_284,0,-0.010220888990837085,1694
irr_284,3,-0.008252291084889986,1693
irr_284,6,-0.0034061473892859464,1692
irr_284,9,0.00465703312525954,1691
irr_284,12,0.008941531581462695,1690
irr_284,15,0.010258464116662185,1689
irr_284,18,0.009639131527207486,1688
irr_284,21,0.012641314076912226,1687
irr_284,24,0.0165254232169031,1686
irr_284,27,0.01611603725616974,1685
irr_284,30,0.013994268867649248,1684
irr_284,33,0.01269543414981298,1683
irr_284,36,0.015192199305447044,1682
irr_284,39,0.02079787767782429,1681
irr_284,42,0.028248615552129333,1680
irr_284,45,0.0366170400334984,1679
irr_284,48,0.04642018465703529,1679
irr_284,51,0.05938967780092562,1679
irr_284,54,0.07098826338762491,1679
irr_284,57,0.0837586391606251,1679
irr_284,60,0.09242969892707127,1679
irr_284,63,0.09591823993273887,1678
irr_284,66,0.09847593385909041,1677
irr_284,69,0.09827228218493847,1675
irr_284,72,0.09704248258531456,1673
irr_284,75,0.09506678190096575,1671
irr_284,78,0.09276559278045499,1669
irr_284,81,0.08690960211060038,1667
irr_284,84,0.08006991574009263,1666
irr_284,87,0.07459084725366237,1665
irr_284,90,0.06563079367123265,1664
irr_284,93,0.050963991884015944,1664
irr_284,96,0.033751331932330125,1664
irr_284,99,0.017225690177434017,1664
irr_284,102,0.0009132774015516049,1664
irr_284,105,-0.0165412426048325,1664
irr_284,108,-0.03004106956301785,1664
irr_284,111,-0.0375835011838597,1663
irr_284,114,-0.046783241176670674,1661
irr_284,117,-0.0608314484803538,1659
irr_284,120,-0.07447870908731175,1657
irr_304,0,-0.039592357192299026,1694
irr_304,3,-0.04550926875871665,1693
irr_304,6,-0.04179280601767684,1692
irr_304,9,-0.035083520249330195,1691
irr_304,12,-0.032985673505164216,1690
irr_304,15,-0.03278835139460183,1689
irr_304,18,-0.03336578847453041,1688
irr_304,21,-0.029600517944123304,1687
irr_304,24,-0.019411268107303512,1686
irr_304,27,-0.012489847290659793,1685
irr_304,30,-0.009154448600547108,1684
irr_304,33,-0.003745791993978539,1683
irr_304,36,0.0067142074304482645,1682
irr_304,39,0.02274165381389155,1681
irr_304,42,0.038886227638260926,1680
irr_304,45,0.051247448601107796,1679
irr_304,48,0.059519406553263036,1679
irr_304,51,0.06915287370647738,1679
irr_304,54,0.07859548349535081,1679
irr_304,57,0.0876946311580022,1679
irr_304,60,0.09267526805977667,1679
irr_304,63,0.09094541540063769,1678
irr_304,66,0.08921193022375967,1677
