satellite,resolution,n,pearson_r,pearson_p,spearman_r,spearman_p
GRACE-FO,daily,234,0.8880915680559767,2.8611106829352188e-80,0.9058191618140483,1.6998609550136074e-88
GRACE-FO,3h_ref,1733,0.39496743837605913,8.600653816652695e-66,0.36797628795935156,1.0618396585503793e-56
Swarm_A,daily,234,0.9045675726118312,7.294391816519773e-88,0.9239914865519834,7.94927310507192e-99
Swarm_A,3h_ref,1733,0.40202264842040475,2.5959974650317647e-68,0.3746487772151305,7.208877173451981e-59
Swarm_B,daily,234,0.8079724139835343,3.271741458790886e-55,0.8522265850911639,3.259608138296376e-67
Swarm_B,3h_ref,1733,0.3560872646792346,5.810249146762429e-53,0.34270010055939604,6.111680103690516e-49
