date,satellite,rho_mean,rho_mean_norm,alt_mean_km,n_samples_density,dEdt_Jkg_per_day,n_bins_dEdt,neg_dEdt_Jkg_per_day,neg_dEdt_norm
2024-04-01 00:00:00+00:00,GRACE-FO,8.539321215856481e-13,0.6108961550135469,492.55707472731484,8640,-453.63652510941023,8,453.63652510941023,0.5622465058535617
2024-04-02 00:00:00+00:00,GRACE-FO,7.277757625324074e-13,0.520644912873801,492.1759529232639,8640,-325.55707833729684,8,325.55707833729684,0.40350218648485625
2024-04-03 00:00:00+00:00,GRACE-FO,6.232654879976852e-13,0.44587910507854006,492.1609570688657,8640,-316.95004930719733,8,316.95004930719733,0.3928344564188382
2024-04-04 00:00:00+00:00,GRACE-FO,6.268023542326389e-13,0.44840935066728593,492.2847084809028,8640,-381.06990537419915,8,381.06990537419915,0.47230593420782374
2024-04-05 00:00:00+00:00,GRACE-FO,7.157371984976853e-13,0.5120326212234529,492.44790752037034,8640,-162.71722877584406,8,162.71722877584406,0.20167510387160212
2024-04-06 00:00:00+00:00,GRACE-FO,7.260365145243055e-13,0.519400668871372,491.96708253368047,8640,-465.1027744729072,8,465.1027744729072,0.5764580128267203
2024-04-07 00:00:00+00:00,GRACE-FO,6.605453170775463e-13,0.4725487942362223,492.20695749421293,8640,-254.5502880699933,8,254.5502880699933,0.315494899791971
2024-04-08 00:00:00+00:00,GRACE-FO,7.0176691846875e-13,0.5020383955251717,492.27909249097223,8640,-558.2196686826646,8,558.2196686826646,0.6918690203348673
2024-04-09 00:00:00+00:00,GRACE-FO,7.121002661712964e-13,0.5094307891596703,492.16531010613426,8640,-156.62002468481654,8,156.62002468481654,0.19411810282361674
2024-04-10 00:00:00+00:00,GRACE-FO,7.454738521608798e-13,0.5333059835043833,491.99582667314814,8640,-531.3804369289428,8,531.3804369289428,0.6586039205511043
2024-04-11 00:00:00+00:00,GRACE-FO,7.629151087349537e-13,0.5457833178385478,492.1303679008102,8640,-388.6552808620035,8,388.6552808620035,0.48170740571097626
2024-04-12 00:00:00+00:00,GRACE-FO,8.07591606e-13,0.5777445237807846,492.24498032766206,8640,-414.72623804211617,8,414.72623804211617,0.5140202900741584
2024-04-13 00:00:00+00:00,GRACE-FO,8.782688935937501e-13,0.6283064854945976,491.8911506888889,8640,-518.8237780686468,8,518.8237780686468,0.6430409374608563
2024-04-14 00:00:00+00:00,GRACE-FO,1.008231227917824e-12,0.7212804916576843,492.07392844375,8640,-453.2949293367565,8,453.2949293367565,0.5618231249771154
2024-04-15 00:00:00+00:00,GRACE-FO,1.162603553193287e-12,0.8317172085435267,492.0034373656251,8640,-615.7064726185054,8,615.7064726185054,0.7631193559153625
2024-04-16 00:00:00+00:00,GRACE-FO,1.6273005062418985e-12,1.1641576621673744,492.0564187428241,8640,-745.5179280061275,8,745.5179280061275,0.9240103626389788
2024-04-17 00:00:00+00:00,GRACE-FO,1.4475897671574077e-12,1.035594048331767,491.7696279831019,8640,-2343.323755895098,3,2343.323755895098,2.904364002695542
2024-04-18 00:00:00+00:00,GRACE-FO,1.3739474335243056e-12,0.9829109165868808,491.94011958043984,8640,-544.146089756063,7,544.146089756063,0.6744259350929379
2024-04-19 00:00:00+00:00,GRACE-FO,1.901401811181713e-12,1.360247525798454,491.8778774440973,8640,-1059.0981761086732,8,1059.0981761086732,1.3126682176426652
2024-04-20 00:00:00+00:00,GRACE-FO,1.672819283144676e-12,1.1967214281716225,491.7229191421297,8640,-841.411890136078,8,841.411890136078,1.0428633256516346
2024-04-21 00:00:00+00:00,GRACE-FO,1.7008718529016204e-12,1.2167900104038318,491.75174715543983,8640,-831.3535382840782,8,831.3535382840782,1.0303967960174334
2024-04-22 00:00:00+00:00,GRACE-FO,1.6365538732766204e-12,1.170777446339381,491.639252162963,8640,-793.8623648304492,8,793.8623648304492,0.9839294590463447
2024-04-23 00:00:00+00:00,GRACE-FO,1.5760026447511574e-12,1.127459585642368,491.7338931341435,8640,-798.6545364093035,8,798.6545364093035,0.9898689757662819
2024-04-24 00:00:00+00:00,GRACE-FO,1.525954935523148e-12,1.0916558579668532,491.48484472511575,8640,-792.7994095031172,8,792.7994095031172,0.9826120101955786
2024-04-25 00:00:00+00:00,GRACE-FO,1.4196401319965277e-12,1.0155991046796788,491.63327720243046,8640,-856.4624158125371,8,856.4624158125371,1.0615172589318251
2024-04-26 00:00:00+00:00,GRACE-FO,1.5989135934641204e-12,1.143849893633678,491.4339754234953,8640,-714.5270519964397,8,714.5270519964397,0.8855996289671577
2024-04-27 00:00:00+00:00,GRACE-FO,1.380299454789352e-12,0.9874551013871617,491.52106330046297,8640,-699.8042204622179,8,699.8042204622179,0.8673518465947169
2024-04-28 00:00:00+00:00,GRACE-FO,1.036530173576389e-12,0.7415253292235244,491.43582229340274,8640,-470.14759933017194,8,470.14759933017194,0.5827106732533828
2024-04-29 00:00:00+00:00,GRACE-FO,8.708387638773148e-13,0.622991030600368,491.3493373877315,8640,-411.86182747781277,8,411.86182747781277,0.5104700802873227
2024-04-30 00:00:00+00:00,GRACE-FO,7.609210536608796e-13,0.5443567869154867,491.4184529111111,8640,-420.7786047756672,8,420.7786047756672,0.5215217187725258
2024-05-01 00:00:00+00:00,GRACE-FO,8.385416941018519e-13,0.599885967275899,491.3426850265046,8640,-342.4010745342821,8,342.4010745342821,0.42437898427815895
2024-05-02 00:00:00+00:00,GRACE-FO,9.854439385949074e-13,0.7049786485970181,491.42121325196763,8640,-454.34581330604857,8,454.34581330604857,0.5631256123366803
2024-05-03 00:00:00+00:00,GRACE-FO,8.619299776712962e-13,0.6166177567750565,491.13833446979163,8640,-467.89185115508735,8,467.89185115508735,0.5799148522395855
2024-05-04 00:00:00+00:00,GRACE-FO,6.90758055474537e-13,0.4941627436973102,491.4135991947917,8640,-252.41005045920613,8,252.41005045920613,0.31284224496425134
2024-05-05 00:00:00+00:00,GRACE-FO,7.919865847928241e-13,0.566580817423578,491.2733813731482,8640,-274.7129275202751,8,274.7129275202751,0.34048489277582955
2024-05-06 00:00:00+00:00,GRACE-FO,1.0502296353958333e-12,0.751325813758189,491.1964360393519,8640,-445.4692062065005,8,445.4692062065005,0.552123761627344
2024-05-07 00:00:00+00:00,GRACE-FO,9.2605306584375e-13,0.6624908970656548,491.15989639479164,8640,-539.8149796016514,8,539.8149796016514,0.6690578674528874
2024-05-08 00:00:00+00:00,GRACE-FO,9.93398578894676e-13,0.7106693341337339,491.2769484594907,8640,-377.52572186663747,8,377.52572186663747,0.4679131997542879
