mask,wavelength,lag_hours,spearman_r,n
quiet_dst30,304,117,0.640099328451373,829
quiet_dst30,304,120,0.6264001611743938,827
quiet_dst30,1175,0,0.8439106517030206,845
quiet_dst30,1175,3,0.8490667411308733,845
quiet_dst30,1175,6,0.8518450254799013,846
quiet_dst30,1175,9,0.8529282354690186,847
quiet_dst30,1175,12,0.8507672845249895,848
quiet_dst30,1175,15,0.8515838114697841,849
quiet_dst30,1175,18,0.8560521874933595,850
quiet_dst30,1175,21,0.8639297789919167,851
quiet_dst30,1175,24,0.8677845057876328,850
quiet_dst30,1175,27,0.8699102648869941,850
quiet_dst30,1175,30,0.8735828122049915,850
quiet_dst30,1175,33,0.8749501839326788,850
quiet_dst30,1175,36,0.8711520138069804,850
quiet_dst30,1175,39,0.8668793533033998,850
quiet_dst30,1175,42,0.867005643513489,849
quiet_dst30,1175,45,0.8649688019342967,848
quiet_dst30,1175,48,0.8638195291450801,849
quiet_dst30,1175,51,0.8635540321936533,850
quiet_dst30,1175,54,0.8628140124435751,850
quiet_dst30,1175,57,0.8600625818085806,850
quiet_dst30,1175,60,0.8561757976786941,850
quiet_dst30,1175,63,0.8545496170332924,849
quiet_dst30,1175,66,0.8570780751774636,848
quiet_dst30,1175,69,0.8555579753770893,845
quiet_dst30,1175,72,0.8536917296392835,843
quiet_dst30,1175,75,0.8521443036248394,841
quiet_dst30,1175,78,0.8536606784740004,839
quiet_dst30,1175,81,0.8514442904270734,837
quiet_dst30,1175,84,0.8460021473695755,835
quiet_dst30,1175,87,0.8384871374130146,834
quiet_dst30,1175,90,0.8382024105898768,834
quiet_dst30,1175,93,0.8390184247567118,834
quiet_dst30,1175,96,0.8354691861666909,834
quiet_dst30,1175,99,0.8292397422502366,834
quiet_dst30,1175,102,0.8291197407753004,834
quiet_dst30,1175,105,0.8219087919491235,834
quiet_dst30,1175,108,0.8053575455943804,834
quiet_dst30,1175,111,0.7936154608495308,833
quiet_dst30,1175,114,0.7921674409384274,831
quiet_dst30,1175,117,0.7889856799622047,829
quiet_dst30,1175,120,0.7736301311591424,827
quiet_dst30,1216,0,0.8025958850967964,845
quiet_dst30,1216,3,0.8133761303632775,845
quiet_dst30,1216,6,0.8211497573497276,846
quiet_dst30,1216,9,0.8137832205384484,847
quiet_dst30,1216,12,0.8051747723756161,848
quiet_dst30,1216,15,0.8117812167870014,849
quiet_dst30,1216,18,0.8204965754888487,850
quiet_dst30,1216,21,0.8212826471513119,851
quiet_dst30,1216,24,0.8188220541400302,850
quiet_dst30,1216,27,0.8251579456694547,850
quiet_dst30,1216,30,0.8296996722893898,850
quiet_dst30,1216,33,0.819377772393416,850
quiet_dst30,1216,36,0.8102148303400869,850
quiet_dst30,1216,39,0.8137900488036499,850
quiet_dst30,1216,42,0.8176818650655141,849
quiet_dst30,1216,45,0.8140059002752879,848
quiet_dst30,1216,48,0.810518524764396,849
quiet_dst30,1216,51,0.8154434473876333,850
quiet_dst30,1216,54,0.8154630655706994,850
quiet_dst30,1216,57,0.8024849926517301,850
quiet_dst30,1216,60,0.7899424473048325,850
quiet_dst30,1216,63,0.7906818101598929,849
quiet_dst30,1216,66,0.7953753193935873,848
quiet_dst30,1216,69,0.7905041031886153,845
quiet_dst30,1216,72,0.7847435998565953,843
quiet_dst30,1216,75,0.7881327349968346,841
quiet_dst30,1216,78,0.787008485496713,839
quiet_dst30,1216,81,0.7741563026237102,837
quiet_dst30,1216,84,0.7602577296956807,835
quiet_dst30,1216,87,0.7569579574387805,834
quiet_dst30,1216,90,0.7600364369243151,834
quiet_dst30,1216,93,0.7549952372281356,834
quiet_dst30,1216,96,0.7460041044807189,834
quiet_dst30,1216,99,0.7448477586011357,834
quiet_dst30,1216,102,0.7438938699591326,834
quiet_dst30,1216,105,0.7275883566712344,834
quiet_dst30,1216,108,0.7080954296162958,834
quiet_dst30,1216,111,0.7011708460362562,833
quiet_dst30,1216,114,0.7047504374621507,831
quiet_dst30,1216,117,0.6981080244826792,829
quiet_dst30,1216,120,0.6851487665877469,827
quiet_dst30,1335,0,0.774180928531267,845
quiet_dst30,1335,3,0.7764522061711813,845
quiet_dst30,1335,6,0.7812488954283331,846
quiet_dst30,1335,9,0.7864726237595842,847
quiet_dst30,1335,12,0.7863883172691639,848
quiet_dst30,1335,15,0.7885608060145185,849
quiet_dst30,1335,18,0.7915468004311507,850
quiet_dst30,1335,21,0.7996427809964787,851
quiet_dst30,1335,24,0.8016096191625097,850
quiet_dst30,1335,27,0.7996581961481242,850
quiet_dst30,1335,30,0.8034052300336992,850
quiet_dst30,1335,33,0.8061343068824113,850
quiet_dst30,1335,36,0.8031812036703003,850
quiet_dst30,1335,39,0.7987391702475796,850
quiet_dst30,1335,42,0.7980803230019256,849
quiet_dst30,1335,45,0.7978182213328192,848
quiet_dst30,1335,48,0.7971772824070623,849
quiet_dst30,1335,51,0.7922076440081375,850
quiet_dst30,1335,54,0.7895200701682226,850
quiet_dst30,1335,57,0.7887943927950074,850
