timestamp,gps_average_altitude,tle_average_altitude,altitude_diff,ddeltahdt_km_per_s
2024-07-01 00:10:16.052631552+00:00,497.47836083173183,497.7492203110311,0.2708594792992471,-3.964345071160484e-08
2024-07-01 03:18:04.444444672+00:00,497.4866633671932,497.72301951511866,0.2363561479255054,-3.964345071160484e-08
2024-07-01 06:35:19.611111168+00:00,497.6110430017773,497.81260003037966,0.2015570286023376,-3.964345071160484e-08
2024-07-01 09:40:21.300000+00:00,496.2577124473645,496.4738061580403,0.2160937106758638,-3.964345071160484e-08
2024-07-01 12:50:24.578947328+00:00,497.4174689561281,497.6795141720186,0.2620452158905095,-3.964345071160484e-08
2024-07-01 15:55:26.500000+00:00,497.54258327105487,497.722090138445,0.1795068673901596,-3.964345071160484e-08
2024-07-01 19:06:54.142856960+00:00,497.4430295655497,497.65048192586175,0.207452360312061,-3.9643450711605446e-08
2024-07-01 22:20:30.368420608+00:00,497.351335580212,497.62763311238143,0.2762975321694512,-1.2164690117067345e-07
2024-07-02 01:25:32.333333504+00:00,497.4346162057772,497.6921227481845,0.2575065424073841,-8.901715331878035e-08
2024-07-02 04:30:34.157894912+00:00,497.40360675027455,497.5948876036244,0.1912808533498378,-2.459947163578956e-08
2024-07-02 07:40:36.052631296+00:00,497.3598470866901,497.57750271256486,0.2176556258747268,-6.9590825458397e-08
2024-07-02 11:11:28.333333248+00:00,496.7089689750632,496.9684105934455,0.2594416183822545,-9.932306226017969e-08
2024-07-02 14:00:39.947368704+00:00,497.31760081496833,497.54260653762185,0.2250057226535204,-2.5171310459491105e-07
2024-07-02 17:05:41.777777664+00:00,497.3908533154525,497.5467482233472,0.1558949078947193,-1.8419504533816027e-07
2024-07-02 20:20:43.842105088+00:00,497.29075828909663,497.5072774783457,0.2165191892490838,-1.5965579746021284e-07
2024-07-02 23:30:45.736841984+00:00,497.22469835351006,497.48947239628,0.2647740427698863,-2.0771103625691443e-07
2024-07-03 02:40:47.631579136+00:00,497.2515576409589,497.47217878159,0.2206211406310672,-1.5980570401417587e-07
2024-07-03 05:45:49.555555328+00:00,497.3429791108037,497.51600682663263,0.1730277158289368,-6.663969748357932e-08
2024-07-03 08:47:54.941176320+00:00,497.17973251464105,497.3919202850491,0.2121877704080361,2.356899758442197e-08
2024-07-03 12:04:46.722222592+00:00,497.12795430079314,497.3888209268683,0.260866626075142,-3.51924965725937e-08
2024-07-03 15:10:55.315789568+00:00,497.2312114090987,497.40583984069184,0.1746284315931348,-2.036943492815865e-07
2024-07-03 18:12:57.266666496+00:00,497.4469059926257,497.6014782512402,0.1545722586145075,-1.5629419986133602e-07
2024-07-03 21:40:59.294117632+00:00,497.30057453387184,497.548346300139,0.2477717662671352,-2.3155393345406337e-07
2024-07-04 00:41:01.105263360+00:00,497.1103682230818,497.3523926768965,0.2420244538146221,-1.876179584112499e-07
2024-07-04 03:51:03.052631296+00:00,497.13861439341,497.3349301677238,0.1963157743138026,-1.881434581414512e-07
2024-07-04 07:01:04.947368448+00:00,497.1429415401561,497.3175393146614,0.1745977745052869,-1.2166148222542913e-07
2024-07-04 10:15:24.142856960+00:00,496.5595405298524,496.7685223983456,0.208981868493197,-9.579028632196238e-08
2024-07-04 13:16:08.777777920+00:00,497.1056814083662,497.3272363891096,0.2215549807434058,-1.7645136732579606e-07
2024-07-04 16:21:10.631578880+00:00,497.1450583803551,497.26885617882846,0.1237977984733333,-2.6870918620108693e-07
2024-07-04 19:58:42.250000128+00:00,497.55337135078537,497.7462893619913,0.1929180112059043,-1.8244576194348694e-07
2024-07-04 22:48:17.352941056+00:00,497.13544369611736,497.36393768125765,0.2284939851402896,-2.1834840211910572e-07
2024-07-05 01:51:15.526315776+00:00,497.0006285274368,497.2157876289327,0.2151591014958853,-1.662223287949555e-07
2024-07-05 05:15:02.562500096+00:00,497.2331025522825,497.3779602859199,0.1448577336373659,-7.957737418358659e-08
2024-07-05 08:08:22.764705792+00:00,496.8804452154922,497.0698417995196,0.1893965840274063,-5.023197737159852e-08
2024-07-05 11:32:54.153846528+00:00,496.49399081228734,496.70524849877086,0.2112576864835205,-1.1035926413275651e-07
2024-07-05 14:31:24.052631296+00:00,496.9711027244672,497.14463811551593,0.1735353910487447,-2.841688628900305e-07
2024-07-05 17:36:08.352941056+00:00,497.108393751788,497.2341327526488,0.1257390008608467,-1.7741915727066853e-07
2024-07-05 20:41:27.842105344+00:00,496.92474660941457,497.1147881178887,0.1900415084741098,-2.2473927967435286e-07
2024-07-05 23:51:29.736842240+00:00,496.8705793452256,497.0968166147316,0.2262372695059866,-2.0789128002570155e-07
2024-07-06 03:01:31.684210688+00:00,496.9038677141665,497.0788370882237,0.1749693740571842,-1.7115563566365233e-07
2024-07-06 06:11:33.631578880+00:00,496.9371406069592,497.0609180254995,0.1237774185403282,-6.07998040974255e-08
2024-07-06 09:00:49.153846016+00:00,496.8954417895857,497.0777697493895,0.1823279598038425,-1.251767672402753e-07
2024-07-06 12:31:37.473684224+00:00,496.8174137653215,497.0256071308258,0.2081933655043144,-2.215423582093637e-07
2024-07-06 15:41:39.473684480+00:00,496.89163973442106,497.00774284599294,0.1161031115718742,-2.9981118177321745e-07
2024-07-06 18:57:01.466667264+00:00,497.16940077830185,497.3044577617777,0.135056983475863,-2.663980869678625e-07
2024-07-06 22:16:43.437499904+00:00,496.8870655197028,497.0976486492977,0.2105831295949087,-3.4579030221691297e-07
2024-07-07 01:06:45.222222336+00:00,496.7586016415411,496.9535648678624,0.1949632263213061,-1.6957959433341943e-07
2024-07-07 04:11:47.052631552+00:00,496.8313466951319,496.94147662653006,0.1101299313981485,-2.916031110085948e-07
2024-07-07 07:19:35.611111424+00:00,496.7002699852607,496.8265233855826,0.1262534003219571,-4.423735256207459e-07
2024-07-07 10:31:50.947368448+00:00,496.725983719793,496.9063598977176,0.180376177924586,-3.4037348213342463e-07
2024-07-07 13:41:52.842105088+00:00,496.7357384222686,496.88871461454,0.1529761922714101,-3.195969533372175e-07
2024-07-07 16:51:54.736842240+00:00,496.8048669437455,496.87053638443575,0.0656694406902715,-4.861459341853511e-07
2024-07-07 23:31:57.733333760+00:00,496.6981723807296,496.8850375023948,0.186865121665221,-5.100204617731035e-07
2024-07-08 02:21:59.473684224+00:00,496.6711375427339,496.81686342957255,0.1457258868386475,-3.2064656860340043e-07
2024-07-08 05:28:53.750000128+00:00,496.727925137511,496.79908679536334,0.0711616578523148,-2.6316111499028406e-07
2024-07-08 08:27:40.562500096+00:00,496.500117345725,496.6097426479705,0.1096253022454902,-3.36401187751072e-07
2024-07-08 11:49:44.941176320+00:00,496.58529381247786,496.7579198768468,0.1726260643689556,-3.105754689168494e-07
2024-07-08 14:52:08.105263616+00:00,496.6552688030762,496.7506034733526,0.0953346702763724,-1.6138633075514437e-07
2024-07-08 18:00:24.176470528+00:00,496.86956557721805,496.9193671833456,0.0498016061275734,-2.7014256243951553e-07
2024-07-08 21:11:29.142857216+00:00,496.71246883430143,496.8272352688877,0.1147664345862153,-2.645932121922585e-07
2024-07-09 00:22:13.947368192+00:00,496.5426077900016,496.6974986587677,0.1548908687660173,-3.3167928241412765e-07
2024-07-09 03:32:15.842105344+00:00,496.5812513772596,496.6797111068129,0.0984597295533262,-2.960281260170058e-07
2024-07-09 06:42:17.736842240+00:00,496.5965549023601,496.6614018631846,0.064846960824525,-2.087945265474916e-07
2024-07-09 09:56:13.111110912+00:00,496.5027558415605,496.62285634841527,0.1201005068547829,-1.9258615773704237e-07
2024-07-09 12:57:21.555555584+00:00,496.45496252831566,496.5824893993558,0.1275268710401178,-2.8046954154965974e-07
2024-07-09 16:01:50.111111168+00:00,496.606260626538,496.6421202866006,0.035859660062556,-3.160126783697089e-07
2024-07-09 19:13:45.333332992+00:00,496.9981293874136,497.0317689842523,0.0336395968387819,-3.2867592768678035e-07
2024-07-09 22:35:34.937500160+00:00,496.5664766855732,496.7038556759399,0.137378990366642,-3.8425104035110376e-07
2024-07-10 01:32:29.263158272+00:00,496.4384209975736,496.5597501179264,0.1213291203527546,-4.1704777008120436e-07
2024-07-10 04:42:31.210526208+00:00,496.5164581367051,496.541744016537,0.0252858798318698,-3.6271062725236896e-07
2024-07-10 07:27:09.769230848+00:00,496.4212473926457,496.4762539196958,0.0550065270501249,-2.619880042577973e-07
2024-07-10 11:19:42.928571136+00:00,496.4751203033051,496.5945768690259,0.1194565657207817,-3.0960022644271706e-07
2024-07-10 14:12:36.947368704+00:00,496.42479857902765,496.4879621137021,0.0631635346744587,-2.2170026474614564e-07
2024-07-10 17:15:08.750000128+00:00,496.59511975881935,496.58807285232575,-0.0070469064935991,-2.3066161090690467e-07
2024-07-10 20:21:33.944444416+00:00,496.51369729517626,496.5533521936837,0.0396548985074218,-1.8414900851224362e-07
2024-07-10 23:32:42.631578880+00:00,496.3390190044333,496.4381360332008,0.0991170287674094,-1.765038517789618e-07
2024-07-11 02:42:44.526315520+00:00,496.3641283348223,496.4204905628601,0.0563622280378126,-1.8345880232927882e-07
2024-07-11 05:52:46.473683968+00:00,496.4171079532613,496.4030299036294,-0.0140780496319052,-3.41234490059485e-07
2024-07-11 09:05:28.400000256+00:00,495.7562377466533,495.8722352126708,0.1159974660174611,-2.7011961447951484e-07
2024-07-11 12:12:50.368421120+00:00,496.2694103466438,496.3679516514053,0.0985413047615111,-9.806541856739839e-08
2024-07-11 15:22:52.263158016+00:00,496.342583538132,496.3500426436677,0.0074591055357018,-1.9908275611245236e-07
2024-07-11 18:32:20.888888832+00:00,496.4161964630176,496.4073236986392,-0.0088727643783954,-4.73760902627121e-07
2024-07-11 21:47:56.222222592+00:00,496.2638532881071,496.3402958228482,0.0764425347410906,-4.494003284004201e-07
2024-07-12 03:52:59.894736640+00:00,496.2825569176663,496.2808410758379,-0.0017158418283997,-2.096375693647658e-07
2024-07-12 06:47:01.733333504+00:00,496.03255923262594,496.0251306583897,-0.0074285742362576,-2.8671005165748675e-07
2024-07-12 10:27:19.857142528+00:00,496.0776779396966,496.14958588001207,0.071907940315441,-2.2620532396779135e-07
2024-07-12 13:23:05.526316032+00:00,496.1680712712399,496.2291803180112,0.0611090467713211,-9.773280994933106e-09
2024-07-12 16:33:07.631578624+00:00,496.2527905779773,496.2108867353487,-0.0419038426286419,1.1314053207463089e-07
2024-07-12 19:44:35.142857472+00:00,496.6086515717862,496.5869053576568,-0.0217462141294504,-3.196777326729984e-08
2024-07-12 23:18:11.714285824+00:00,496.09659446039416,496.1788662254712,0.0822717650770528,-1.1173008110383233e-07
2024-07-13 02:03:13.473684224+00:00,496.09788370117246,496.157393694723,0.0595099935505345,-1.543434909702501e-07
2024-07-13 05:08:15.333333248+00:00,496.0839346813225,496.051397959184,-0.0325367221384453,-1.2950048526639088e-07
2024-07-13 08:07:59.470588160+00:00,495.9364099422809,495.9532544398061,0.0168444975252555,-2.7292793387955088e-08
2024-07-13 11:29:47.411764992+00:00,495.92626159650064,496.0035028467045,0.0772412502038832,-4.243874904005179e-08
2024-07-13 14:33:21.052631296+00:00,496.07277521471,496.08827348103966,0.0154982663297005,-1.0588058986965795e-07
2024-07-13 17:55:03.249999872+00:00,497.057786986967,497.0003470853264,-0.0574399016406346,-1.3691548496530576e-07
2024-07-13 21:07:15.923077376+00:00,497.0041878791116,497.02842977521817,0.0242418961065595,-6.598650237675471e-08
2024-07-14 00:03:26.842105088+00:00,495.9778369268864,496.03633225213815,0.0584953252517266,-1.1999660554237273e-07
2024-07-14 03:13:28.789473536+00:00,496.01507926796296,496.0186817861527,0.003602518189723,-1.230096479970568e-07
2024-07-14 06:23:30.736842496+00:00,496.0363906834163,496.0007383725696,-0.0356523108466717,1.1785693929200677e-08
2024-07-14 09:44:22.833333248+00:00,495.48158515781046,495.5333328652068,0.0517477073963732,3.3176828573940014e-08
2024-07-14 12:38:34.555555328+00:00,495.8163713999121,495.87138597219183,0.055014572279731,2.198215489129973e-08
2024-07-14 15:41:50.529411840+00:00,495.9993604798119,495.98097636010255,-0.018384119709367,-5.963624669363078e-08
2024-07-14 19:00:04.071428608+00:00,496.65712392763567,496.6054340944564,-0.051689833179239,-2.655952580657654e-09
2024-07-14 22:08:07.055555584+00:00,495.8944862976496,495.9492372860908,0.0547509884411283,-5.7985217209574486e-08
2024-07-15 01:08:42.222222336+00:00,495.7502350003495,495.8094456166039,0.0592106162543473,-2.163143104681594e-07
2024-07-15 04:23:44.157894912+00:00,495.92165538140654,495.8783567991368,-0.0432985822696991,-1.8623994144966833e-07
2024-07-15 07:28:28.352941312+00:00,495.6768785380777,495.6742862778475,-0.0025922602301875,-1.5766689350448958e-08
2024-07-15 10:47:08.111111168+00:00,495.7504550056504,495.8056566269225,0.05520162127209,-5.514541472188001e-08
2024-07-15 13:53:49.947368192+00:00,495.7987086898792,495.8251841047452,0.0264754148660131,-4.53543302241606e-08
2024-07-15 16:59:34.785714688+00:00,495.9364479773081,495.88460345968775,-0.0518445176203385,-1.2701629585165278e-08
2024-07-15 20:02:27.999999744+00:00,495.9787747312768,495.93706244863614,-0.0417122826406739,1.0414380803250845e-07
2024-07-15 23:13:55.631578624+00:00,495.709838908517,495.7713422262928,0.0615033177757595,1.5506992122603164e-07
2024-07-16 02:23:57.631578880+00:00,495.7301710609057,495.754316725669,0.0241456647633526,2.3739248599059526e-07
