bin_left,bin_right,count
0.0,0.05,0
0.05,0.1,0
0.1,0.15000000000000002,0
0.15000000000000002,0.2,0
0.2,0.25,0
0.25,0.30000000000000004,0
0.30000000000000004,0.35000000000000003,0
0.35000000000000003,0.4,0
0.4,0.45,767
0.45,0.5,0
0.5,0.55,13420
0.55,0.6000000000000001,0
0.6000000000000001,0.65,9641
0.65,0.7000000000000001,3227
0.7000000000000001,0.75,0
0.75,0.8,0
0.8,0.8500000000000001,1046
0.8500000000000001,0.9,426
0.9,0.9500000000000001,0
0.9500000000000001,1.0,0
1.0,1.05,183
1.05,1.1,0
1.1,1.1500000000000001,98
1.1500000000000001,1.2000000000000002,0
1.2000000000000002,1.25,71
1.25,1.3,47
1.3,1.35,0
1.35,1.4000000000000001,34
1.4000000000000001,1.4500000000000002,0
1.4500000000000002,1.5,0
1.5,1.55,24
1.55,1.6,0
1.6,1.6500000000000001,27
1.6500000000000001,1.7000000000000002,0
1.7000000000000002,1.75,19
1.75,1.8,22
1.8,1.85,0
1.85,1.9000000000000001,14
1.9000000000000001,1.9500000000000002,0
1.9500000000000002,2.0,0
2.0,2.0500000000000003,12
2.0500000000000003,2.1,7
2.1,2.15,0
2.15,2.2,0
2.2,2.25,8
2.25,2.3000000000000003,10
2.3000000000000003,2.35,0
2.35,2.4000000000000004,0
2.4000000000000004,2.45,13
2.45,2.5,0
2.5,2.5500000000000003,2
2.5500000000000003,2.6,4
2.6,2.6500000000000004,0
2.6500000000000004,2.7,0
2.7,2.75,5
2.75,2.8000000000000003,7
2.8000000000000003,2.85,0
2.85,2.9000000000000004,0
2.9000000000000004,2.95,9
2.95,3.0,0
3.0,3.0500000000000003,6
3.0500000000000003,3.1,3
3.1,3.1500000000000004,0
3.1500000000000004,3.2,0
3.2,3.25,4
3.25,3.3000000000000003,2
3.3000000000000003,3.35,0
3.35,3.4000000000000004,0
3.4000000000000004,3.45,1
3.45,3.5,0
3.5,3.5500000000000003,4
3.5500000000000003,3.6,3
3.6,3.6500000000000004,0
3.6500000000000004,3.7,0
3.7,3.75,3
3.75,3.8000000000000003,3
3.8000000000000003,3.85,0
3.85,3.9000000000000004,0
3.9000000000000004,3.95,0
3.95,4.0,0
4.0,4.05,1
4.05,4.1000000000000005,4
4.1000000000000005,4.15,0
4.15,4.2,2
4.2,4.25,0
4.25,4.3,0
4.3,4.3500000000000005,4
4.3500000000000005,4.4,0
4.4,4.45,2
4.45,4.5,0
4.5,4.55,2
4.55,4.6000000000000005,1
4.6000000000000005,4.65,0
4.65,4.7,4
4.7,4.75,0
4.75,4.800000000000001,0
4.800000000000001,4.8500000000000005,1
4.8500000000000005,4.9,0
4.9,4.95,2
4.95,5.0,0
5.0,5.050000000000001,2
5.050000000000001,5.1000000000000005,0
5.1000000000000005,5.15,0
5.15,5.2,0
5.2,5.25,0
5.25,5.300000000000001,0
5.300000000000001,5.3500000000000005,3
5.3500000000000005,5.4,0
5.4,5.45,2
5.45,5.5,0
5.5,5.550000000000001,0
5.550000000000001,5.6000000000000005,1
5.6000000000000005,5.65,0
5.65,5.7,3
5.7,5.75,0
5.75,5.800000000000001,0
5.800000000000001,5.8500000000000005,0
5.8500000000000005,5.9,0
5.9,5.95,0
5.95,6.0,0
6.0,6.050000000000001,2
6.050000000000001,6.1000000000000005,2
6.1000000000000005,6.15,0
6.15,6.2,2
6.2,6.25,0
6.25,6.300000000000001,0
6.300000000000001,6.3500000000000005,3
6.3500000000000005,6.4,0
6.4,6.45,0
6.45,6.5,0
6.5,6.550000000000001,1
6.550000000000001,6.6000000000000005,0
6.6000000000000005,6.65,0
6.65,6.7,2
6.7,6.75,0
6.75,6.800000000000001,0
6.800000000000001,6.8500000000000005,2
6.8500000000000005,6.9,0
6.9,6.95,1
6.95,7.0,0
7.0,7.050000000000001,0
7.050000000000001,7.1000000000000005,1
7.1000000000000005,7.15,0
7.15,7.2,1
7.2,7.25,0
7.25,7.300000000000001,0
7.300000000000001,7.3500000000000005,1
7.3500000000000005,7.4,0
7.4,7.45,0
7.45,7.5,0
7.5,7.550000000000001,0
7.550000000000001,7.6000000000000005,1
7.6000000000000005,7.65,0
7.65,7.7,0
7.7,7.75,0
7.75,7.800000000000001,0
7.800000000000001,7.8500000000000005,0
7.8500000000000005,7.9,0
7.9,7.95,1
7.95,8.0,0
8.0,8.05,0
8.05,8.1,0
8.1,8.15,2
8.15,8.200000000000001,0
8.200000000000001,8.25,0
8.25,8.3,0
8.3,8.35,1
8.35,8.4,1
8.4,8.450000000000001,0
8.450000000000001,8.5,0
8.5,8.55,1
8.55,8.6,0
8.6,8.65,0
8.65,8.700000000000001,0
8.700000000000001,8.75,0
8.75,8.8,0
8.8,8.85,0
8.85,8.9,2
8.9,8.950000000000001,0
8.950000000000001,9.0,0
9.0,9.05,1
9.05,9.1,0
9.1,9.15,0
9.15,9.200000000000001,1
9.200000000000001,9.25,0
9.25,9.3,0
9.3,9.35,0
9.35,9.4,1
9.4,9.450000000000001,0
9.450000000000001,9.5,0
9.5,9.55,0
9.55,9.600000000000001,0
9.600000000000001,9.65,0
9.65,9.700000000000001,0
9.700000000000001,9.75,0
9.75,9.8,0
9.8,9.850000000000001,0
9.850000000000001,9.9,31
