datetime,gps_lat_deg,tle_lat_deg,delta_h_old,alpha_geoid,delta_h_degeoided
2024-07-10 00:02:28+00:00,42.46065139770508,42.6203105756119,0.49607169752471236,0.061899703908238735,0.43417199361647363
2024-07-10 00:12:28+00:00,78.32730865478516,78.44762629292174,0.5830369612713184,0.022799981786192802,0.5602369794851256
2024-07-10 00:22:28+00:00,60.17388153076172,60.02930373817092,0.5355887369869379,0.011499958312924718,0.5240887786740132
2024-07-10 00:32:28+00:00,22.60310745239257,22.4575895490623,0.31718385913245584,0.027699933277290256,0.2894839258551656
2024-07-10 00:42:28+00:00,-15.403969764709473,-15.548614054500439,0.0381875167859107,0.062299920427904,-0.024112403641993296
2024-07-10 00:52:28+00:00,-53.04823684692384,-53.13012294506547,-0.2827383292324157,-0.021999901892741036,-0.26073842733967467
2024-07-10 01:02:29+00:00,-82.44476318359375,-82.41672835779434,-0.33283739173566573,-0.002699999159631261,-0.33013739257603447
2024-07-10 01:12:29+00:00,-50.22615814208984,-50.075835017324586,-0.2085266766625864,0.010799949815918808,-0.2193266264785052
2024-07-10 01:22:29+00:00,-12.65049171447754,-12.49551763094384,0.004995808735657192,-0.011799989819337497,0.01679579855499469
2024-07-10 01:32:29+00:00,25.27347183227539,25.42689315538137,0.24012233698613272,-0.018299946539627854,0.2584222835257606
2024-07-10 01:42:29+00:00,62.69658660888672,62.840824798601425,0.42370709375700244,0.008499972524987243,0.4152071212320152
2024-07-10 01:52:29+00:00,76.22593688964845,76.10368875066564,0.43922970457970223,0.0029999968719494063,0.4362297077077528
2024-07-10 02:02:29+00:00,39.8449821472168,39.70451516760162,0.338736979118039,0.029499861461772525,0.3092371176562665
2024-07-10 02:12:29+00:00,1.9065133333206177,1.7665256194617136,0.15020806294342037,0.06430000168074912,0.08590806126267125
2024-07-10 02:22:29+00:00,-35.97364044189453,-36.11257030498721,-0.13724777911647834,-0.037499836424103705,-0.09974794269237464
2024-07-10 02:32:29+00:00,-72.65666961669923,-72.72760215979017,-0.23332641536489973,-0.0009999984340538504,-0.23232641693084588
2024-07-10 02:42:30+00:00,-66.87139892578125,-66.73473908759946,-0.20246378070896753,0.009999974786296661,-0.2124637554952642
2024-07-10 02:52:30+00:00,-29.857505798339844,-29.71159834580296,-0.05673379237850895,0.018099935399732203,-0.07483372777824115
2024-07-10 03:02:30+00:00,8.001935005187987,8.14857519432738,0.11992231395925046,-0.010799996236528386,0.13072231019577885
2024-07-10 03:12:30+00:00,45.80004119873047,45.942329314785916,0.281617651335182,-0.035299828197821626,0.31691747953300364
2024-07-10 03:22:30+00:00,80.68090057373048,80.76530046628349,0.3530717300327524,-0.0009999995018006302,0.354071729534553
2024-07-10 03:32:30+00:00,56.89249420166016,56.758700174339204,0.24942388499221124,-0.014399940958355728,0.26382382595056697
2024-07-10 03:42:30+00:00,19.230323791503903,19.09420297436394,0.033569806290870474,-0.02529995191434864,0.058869758205219114
2024-07-10 03:52:30+00:00,-18.769058227539062,-18.906075714190823,-0.20619647326930135,-0.04709991415802506,-0.1590965591112763
2024-07-10 04:02:30+00:00,-56.324745178222656,-56.39943022386951,-0.29275019589931617,0.016099934124213178,-0.30885013002352935
2024-07-10 04:12:31+00:00,-81.1810531616211,-81.1021548977452,-0.27308823495604884,-0.01589999255793373,-0.2571882423981151
2024-07-10 04:22:31+00:00,-46.928104400634766,-46.784877801234956,-0.06102084989925061,0.007799962751050771,-0.06882081265030138
2024-07-10 04:32:31+00:00,-9.285321235656738,-9.140304061003778,0.1580602160493072,-0.008099996428427403,0.1661602124777346
2024-07-10 04:42:31+00:00,28.636482238769528,28.77784895010467,0.3277140415075337,-0.027999904227726802,0.3557139457352605
2024-07-10 04:52:31+00:00,65.92446899414062,66.05471837923682,0.38527039547716413,-0.02479993226734223,0.41007032774450636
2024-07-10 05:02:31+00:00,73.2882308959961,73.16787866559952,0.29016368091288314,-0.010299984958692221,0.30046366587157536
2024-07-10 05:12:31+00:00,36.4927864074707,36.36117465625527,0.026136602088627114,-0.03769983362781204,0.06383643571643915
2024-07-10 05:22:31+00:00,-1.4689183235168457,-1.6031627191784406,-0.3365621774673855,-0.1004999987244446,-0.2360621787429409
