mode,wavelength,lag_hours,spearman_r,n
daily,304,0,0.039516345915034196,1671
daily,304,3,0.03870623096991259,1670
daily,304,6,0.018883966905929223,1669
daily,304,9,0.01689149578331589,1668
daily,304,12,0.03574971532238091,1667
daily,304,15,0.03762579007121936,1666
daily,304,18,0.01948854732416731,1665
daily,304,21,0.013066523270618179,1664
daily,304,24,0.0324743069723105,1663
daily,304,27,0.03653011505390409,1662
daily,304,30,0.015156287101248788,1661
daily,304,33,0.013229311506646345,1660
daily,304,36,0.03246464494233822,1659
daily,304,39,0.03389334042436448,1658
daily,304,42,0.012637655767220795,1657
daily,304,45,0.007953011976736873,1657
daily,304,48,0.028299639568739127,1657
daily,304,51,0.025405789831471293,1657
daily,304,54,-1.8733769399479388e-05,1657
daily,304,57,-0.0031695071639563123,1657
daily,304,60,0.013586949472528817,1657
daily,304,63,0.010336969897152453,1656
daily,304,66,-0.01719077926672199,1655
daily,304,69,-0.025213372295073776,1653
daily,304,72,-0.006715748650384105,1651
daily,304,75,-0.01039096535602308,1649
daily,304,78,-0.03276518639800242,1647
daily,304,81,-0.03374837924659305,1645
daily,304,84,-0.015076614877729226,1643
daily,304,87,-0.01064483233472701,1642
daily,304,90,-0.02899889027626183,1642
daily,304,93,-0.03199732957052827,1642
daily,304,96,-0.009513936944858623,1642
daily,304,99,-0.005147959265270907,1642
daily,304,102,-0.02101660640631528,1642
daily,304,105,-0.017212009876174713,1642
daily,304,108,0.005206323442859339,1642
daily,304,111,0.0069071691176845395,1641
daily,304,114,-0.014681140845611397,1639
daily,304,117,-0.01791118239997279,1637
daily,304,120,0.007569643502002219,1635
daily,1216,0,0.05385400712681077,1671
daily,1216,3,0.018941582875977914,1670
daily,1216,6,-0.00543110381743716,1669
daily,1216,9,0.031520936992268336,1668
daily,1216,12,0.06435412007601361,1667
daily,1216,15,0.03399580413775642,1666
daily,1216,18,0.0028042821075495343,1665
daily,1216,21,0.029107088464497416,1664
daily,1216,24,0.052031419425629596,1663
daily,1216,27,0.021008955555225275,1662
daily,1216,30,-0.004513286611414165,1661
daily,1216,33,0.03158358849894889,1660
daily,1216,36,0.06206912465337749,1659
daily,1216,39,0.028484097937656206,1658
daily,1216,42,-0.00444684690951317,1657
daily,1216,45,0.02272109362863515,1657
daily,1216,48,0.04555660370442205,1657
daily,1216,51,0.007299939982963935,1657
daily,1216,54,-0.02064650110272545,1657
daily,1216,57,0.014528724612588938,1657
daily,1216,60,0.04373693946845877,1657
daily,1216,63,0.009355997076832304,1656
daily,1216,66,-0.027160044768169203,1655
daily,1216,69,-0.002813889491691057,1653
daily,1216,72,0.01850112863493985,1651
daily,1216,75,-0.01921052696424128,1649
daily,1216,78,-0.04402790765015385,1647
daily,1216,81,-0.005791402270857709,1645
daily,1216,84,0.026904520294862122,1643
daily,1216,87,-0.005110457055581852,1642
daily,1216,90,-0.03447053870162366,1642
daily,1216,93,-0.003930009579028805,1642
daily,1216,96,0.02021311231387793,1642
daily,1216,99,-0.013792150156489482,1642
daily,1216,102,-0.035178173183229924,1642
daily,1216,105,0.004221502486965007,1642
daily,1216,108,0.037354560408937004,1642
daily,1216,111,0.00235448863956351,1641
daily,1216,114,-0.03193814502600692,1639
daily,1216,117,-0.006136144420267779,1637
daily,1216,120,0.01873535201548783,1635
weekly,304,0,0.158913563988072,1671
weekly,304,3,0.1636365626015941,1670
weekly,304,6,0.15490610354783352,1669
weekly,304,9,0.15416400616843565,1668
weekly,304,12,0.15440943911329086,1667
weekly,304,15,0.15315419878545047,1666
weekly,304,18,0.14318673252895453,1665
weekly,304,21,0.13469687733056587,1664
weekly,304,24,0.13743420854316565,1663
weekly,304,27,0.1373766199789326,1662
weekly,304,30,0.12277346584810286,1661
weekly,304,33,0.11731985143204159,1660
weekly,304,36,0.11774852105106057,1659
weekly,304,39,0.11324953844207222,1658
weekly,304,42,0.09790886577582698,1657
weekly,304,45,0.08616564592216332,1657
weekly,304,48,0.08839484453613922,1657
