datetime,h_gps_km,h_tle_km
2024-04-29 00:07:40+00:00,507.3923382032972,507.309426002962
2024-04-29 00:17:40+00:00,501.27276226151935,501.1954539593771
2024-04-29 00:27:40+00:00,495.08742701042956,495.12801944658077
2024-04-29 00:37:40+00:00,492.8392820352383,492.9732318826118
2024-04-29 00:47:40+00:00,497.3679696202098,497.60587850817865
2024-04-29 00:57:40+00:00,506.3990266844776,506.690516767625
2024-04-29 01:07:40+00:00,513.976526056902,514.2518425338758
2024-04-29 01:17:41+00:00,516.3448785896007,516.434169942675
2024-04-29 01:27:41+00:00,514.1247212595199,514.0899650979609
2024-04-29 01:37:41+00:00,509.87729880893585,509.7429963649338
2024-04-29 01:47:41+00:00,504.4084194240677,504.20724661243094
2024-04-29 01:57:41+00:00,497.994901712108,497.7846885016388
2024-04-29 02:07:41+00:00,493.3534304894183,493.2409980103175
2024-04-29 02:17:41+00:00,494.5945228800638,494.59067364748444
2024-04-29 02:27:41+00:00,502.0856441993692,502.20568658512366
2024-04-29 02:37:41+00:00,510.99250412892707,511.22035031647647
2024-04-29 02:47:41+00:00,515.9104411597546,516.100163918486
2024-04-29 02:57:42+00:00,515.4010437220277,515.5613700050972
2024-04-29 03:07:42+00:00,511.8822757944836,511.9186121292978
2024-04-29 03:17:42+00:00,507.0303243476583,506.96204660820695
2024-04-29 03:27:42+00:00,500.945464613018,500.82011026662803
2024-04-29 03:37:42+00:00,495.02348859219273,494.87997354373147
2024-04-29 03:47:42+00:00,493.13647111634873,493.0688400489862
2024-04-29 03:57:42+00:00,498.0729303783428,498.05131694273314
2024-04-29 04:07:42+00:00,507.206476732149,507.19855557293704
2024-04-29 04:17:42+00:00,514.5429812670018,514.5048267217853
2024-04-29 04:27:43+00:00,516.3724777558182,516.3625676293304
2024-04-29 04:37:43+00:00,513.8958835848089,513.835184090236
2024-04-29 04:47:43+00:00,509.46066098971005,509.42042627545015
2024-04-29 04:57:43+00:00,503.85830769789845,503.8366437276054
2024-04-29 05:07:43+00:00,497.45349284588974,497.4484905210793
2024-04-29 05:17:43+00:00,493.1583247682993,493.1547594983931
2024-04-29 05:27:43+00:00,494.88016442967546,494.8913901733458
2024-04-29 05:37:43+00:00,502.80157013069766,502.73038565589195
2024-04-29 05:47:43+00:00,511.8108192726977,511.62076610830354
2024-04-29 05:57:43+00:00,516.3220800363397,516.1719114315938
2024-04-29 06:07:43+00:00,515.5062649685497,515.3761202198002
2024-04-29 06:17:44+00:00,511.708951302503,511.6215958303028
2024-04-29 06:27:44+00:00,506.57483851819234,506.61277474339295
2024-04-29 06:37:44+00:00,500.34121616711946,500.44781636105563
2024-04-29 06:47:44+00:00,494.535120769744,494.6469439271832
2024-04-29 06:57:44+00:00,493.12222339026994,493.1867409771494
2024-04-29 07:07:44+00:00,498.5612214109233,498.5092723800617
2024-04-29 07:17:44+00:00,507.8717504896167,507.6988547933697
2024-04-29 07:27:44+00:00,514.9561213404841,514.7381245519655
2024-04-29 07:37:44+00:00,516.4130759012914,516.276926449882
2024-04-29 07:47:45+00:00,513.6542082189335,513.5739516247459
2024-04-29 07:57:45+00:00,509.0249465773468,509.0953997869383
2024-04-29 08:07:45+00:00,503.28235273767405,503.46578936070637
2024-04-29 08:17:45+00:00,496.9196951394497,497.1212073327433
2024-04-29 08:27:45+00:00,492.93192299621023,493.08902503864374
2024-04-29 08:37:45+00:00,495.1781237033638,495.2114634828722
2024-04-29 08:47:32+00:00,503.31574250515314,503.0516311959591
2024-04-29 08:57:45+00:00,512.1741942145454,512.0051155603842
2024-04-29 09:07:45+00:00,516.3505950798972,516.2243982808677
2024-04-29 09:17:45+00:00,515.2281282084741,515.1760002872197
2024-04-29 09:27:46+00:00,511.311053825405,511.3210630935173
2024-04-29 09:37:46+00:00,506.09438190860055,506.26177453474065
2024-04-29 09:47:46+00:00,499.8764034206515,500.0790991959648
2024-04-29 09:57:46+00:00,494.2817090448343,494.42958038382403
2024-04-29 10:07:46+00:00,493.277731318899,493.32685677411973
2024-04-29 10:17:46+00:00,499.0172384585776,498.9787288710404
2024-04-29 10:37:46+00:00,515.0569969582084,514.9515191589926
2024-04-29 10:47:46+00:00,516.1838884733879,516.1746508550614
2024-04-29 10:57:46+00:00,513.2586498762857,513.3133230904559
2024-04-29 11:07:47+00:00,508.6329871690341,508.76806989960915
2024-04-29 11:17:47+00:00,502.8710951705898,503.0950052342905
2024-04-29 11:27:47+00:00,496.65501497934747,496.8035215595937
2024-04-29 11:37:47+00:00,492.96204588469936,493.04415610138403
2024-04-29 11:47:47+00:00,495.5273094853974,495.55026609902507
2024-04-29 11:57:47+00:00,503.7834448882368,503.78440411464
2024-04-29 12:07:47+00:00,512.3817797007196,512.3727247251918
2024-04-29 12:17:47+00:00,516.224459687428,516.2578688671001
2024-04-29 12:27:47+00:00,514.8934719704885,514.9658351549924
2024-04-29 12:37:48+00:00,510.9692516537816,511.01728126728904
2024-04-29 12:47:48+00:00,505.8040377223524,505.90921763084225
2024-04-29 12:57:48+00:00,499.61383787189243,499.71450457311767
2024-04-29 13:07:48+00:00,494.16136320410624,494.2285142965857
2024-04-29 13:17:48+00:00,493.43488114382035,493.48905235148595
2024-04-29 13:27:48+00:00,499.3303168695529,499.45863615700364
2024-04-29 13:37:48+00:00,508.57616032320857,508.672000948588
2024-04-29 13:47:48+00:00,515.0461389372267,515.1448473020528
2024-04-29 13:57:48+00:00,516.0032990730288,516.0575822962555
2024-04-29 14:07:48+00:00,513.1093501770365,513.0406662427495
2024-04-29 14:17:49+00:00,508.5442385105862,508.43858435576476
2024-04-29 14:27:49+00:00,502.8346903381698,502.72463385667015
2024-04-29 14:37:49+00:00,496.611403850623,496.4961197941866
2024-04-29 14:47:49+00:00,493.07693474801,493.02047021322323
2024-04-29 14:57:49+00:00,495.8423059691686,495.90711668867425
2024-04-29 15:07:49+00:00,504.24436137603425,504.3113408266372
2024-04-29 15:17:49+00:00,512.6163799432716,512.7229690453014
2024-04-29 15:27:49+00:00,516.2206983034384,516.2726095021571
2024-04-29 15:37:49+00:00,514.7917773129757,514.7461837986757
2024-04-29 15:47:49+00:00,510.8285558287844,510.7182089629014
2024-04-29 15:57:50+00:00,505.7538323387844,505.5552861314454
2024-04-29 16:07:50+00:00,499.60113054635076,499.35459807692587
2024-04-29 16:17:50+00:00,494.2700154606464,494.04435564530195
2024-04-29 16:27:50+00:00,493.78740031965754,493.6731347265477
2024-04-29 16:37:50+00:00,500.03979607057136,499.94791261128285
2024-04-29 16:47:50+00:00,509.1295946154687,509.1428031680489
2024-04-29 16:57:50+00:00,515.2616118994601,515.3179995088785
2024-04-29 17:07:50+00:00,515.8916751066172,515.9262594306829
2024-04-29 17:17:50+00:00,512.8112506409107,512.7628553073573
2024-04-29 17:27:50+00:00,508.1824735646687,508.11568487970817
2024-04-29 17:37:51+00:00,502.5742050134904,502.3550365658666
2024-04-29 17:47:51+00:00,496.4198705525405,496.19969190511165
2024-04-29 18:37:51+00:00,516.1840617741636,516.2689467481259
2024-04-29 18:47:51+00:00,514.50577129882,514.5176020471572
2024-04-29 18:57:51+00:00,510.39268729237574,510.4087450283514
2024-04-29 19:07:51+00:00,505.28152615904946,505.20981286067035
2024-04-29 19:17:51+00:00,499.13821306174304,499.0104179597711
2024-04-29 19:47:52+00:00,500.4231509638166,500.4454489189693
2024-04-29 19:57:52+00:00,509.5301446314679,509.6017831046174
2024-04-29 20:07:52+00:00,515.3757668291373,515.4709196825252
2024-04-29 20:17:52+00:00,515.7492405909907,515.7812378310218
2024-04-29 20:27:52+00:00,512.4911498775937,512.4802953649514
2024-04-29 20:37:52+00:00,507.8193810918074,507.782385569948
2024-04-29 20:47:52+00:00,502.1017770173121,501.9970720968904
2024-04-29 20:57:53+00:00,495.9514683560601,495.9149264330381
2024-04-29 21:07:53+00:00,492.9880775416523,493.03768497870624
2024-04-29 21:17:53+00:00,496.5795613296623,496.6719762313578
2024-04-29 21:27:53+00:00,505.197359783675,505.35912391130205
2024-04-29 21:37:53+00:00,513.175869996825,513.3691235079823
2024-04-29 21:47:53+00:00,516.1072083732515,516.2472454924682
2024-04-29 21:57:53+00:00,514.3104809265269,514.2806403847571
2024-04-29 22:07:53+00:00,510.16433367687114,510.0967339541339
2024-04-29 22:17:53+00:00,504.97601230254986,504.8537845620076
2024-04-29 22:27:53+00:00,498.763945075385,498.66151140360853
2024-04-29 22:37:54+00:00,493.7007158853312,493.7290802513471
2024-04-29 22:47:54+00:00,493.97879372992884,494.10589596311456
2024-04-29 22:57:54+00:00,500.6922270210034,500.95010891473703
2024-04-29 23:07:54+00:00,509.7580390866224,510.0480054761874
2024-04-29 23:17:54+00:00,515.3620907678396,515.6036045146011
2024-04-29 23:27:54+00:00,515.609897215314,515.623087503549
2024-04-29 23:37:54+00:00,512.3026008031384,512.1933744033895
2024-04-29 23:47:54+00:00,507.6329016609461,507.4473451685435
2024-04-29 23:57:54+00:00,501.82009341113735,501.6301853788282
2024-04-30 00:07:54+00:00,495.69224962760927,495.6508695950524
2024-04-30 00:17:55+00:00,492.9517567909661,493.0789819228712
2024-04-30 00:27:55+00:00,496.79941781627076,497.0783664229157
2024-04-30 00:37:55+00:00,505.5147797044074,505.87761087421677
2024-04-30 00:47:55+00:00,513.3090201309305,513.6640473661027
2024-04-30 00:57:55+00:00,516.0958257386419,516.2079068992243
2024-04-30 01:07:55+00:00,514.1246882134074,514.0358420182129
2024-04-30 01:17:55+00:00,510.0033984315205,509.7823819518326
2024-04-30 01:27:55+00:00,504.8029603769419,504.49698957771034
2024-04-30 01:37:55+00:00,498.6069811142743,498.3190684712572
2024-04-30 01:47:55+00:00,493.7213751155514,493.60332408868635
2024-04-30 01:57:55+00:00,494.30753128746255,494.3467974618716
2024-04-30 02:07:56+00:00,501.24794055006987,501.46073646818786
2024-04-30 02:17:56+00:00,510.1659707878225,510.48057305126804
