hypothesis,unit,bias,std,n
H1_ellipsoidal,m,-22.271474643331022,107.84435255129145,70
H2_alt_plus_Req,km,10.488249778067322,7.526769729139896,70
H3_alt_plus_Rmean,km,3.351249778067657,7.526769729139946,70
