month,n,frac_kp_ge3,frac_kp_ge4
2024-04,240,0.18333333333333332,0.0625
2024-05,248,0.2217741935483871,0.13709677419354838
2024-06,240,0.175,0.06666666666666667
2024-07,248,0.10483870967741936,0.04032258064516129
2024-08,248,0.2540322580645161,0.1532258064516129
2024-09,240,0.3333333333333333,0.1625
2024-10,248,0.32661290322580644,0.14919354838709678
2024-11,240,0.20416666666666666,0.058333333333333334
