datetime,gpsUtcTime,lat_deg,r_m,h_ell_m,E_point_Jkg,E_J2_Jkg,a_equiv_m
2024-07-01 11:20:23+00:00,1719832823,81.24025726318358,6862044.076600327,504791.9500007629,-29046455.191861995,-28994037.920123152,6861430.0637909975
2024-07-01 11:30:23+00:00,1719833423,46.70041275024414,6863032.694339787,496180.1624984741,-29009674.539525878,-28993934.63593604,6870129.502089109
2024-07-01 11:40:24+00:00,1719834024,8.841400146484375,6869468.585115921,491832.8812503815,-28969589.626490355,-28994771.1231891,6879635.627208057
2024-07-01 11:50:24+00:00,1719834624,-29.12374687194824,6876824.436578685,503722.4375,-28987795.5630396,-28995787.57807127,6875314.836086204
2024-07-01 12:00:24+00:00,1719835224,-66.25137329101562,6882730.207363555,522486.5874996185,-29035154.78568809,-28994548.27097586,6864100.514395687
2024-07-01 12:10:24+00:00,1719835824,-73.22125244140625,6886778.835975758,528231.5250015259,-29041400.760742363,-28994448.83949612,6862624.242609207
2024-07-01 12:20:24+00:00,1719836424,-36.70940399169922,6887570.784971939,517036.10624980927,-28996761.085460573,-28995058.01746236,6873189.054205514
2024-07-01 12:30:24+00:00,1719837024,1.06100332736969,6882782.912861638,504653.1875,-28967655.4905437,-28994548.57076044,6880094.972306621
2024-07-01 12:40:24+00:00,1719837624,38.891693115234375,6873154.984675804,503407.4125003815,-28999343.883227315,-28994648.647204425,6872576.900447447
2024-07-01 12:50:24+00:00,1719838224,75.33544158935547,6864167.901630961,506034.875,-29043274.952250008,-28994274.181782797,6862181.390620345
2024-07-01 13:00:24+00:00,1719838824,63.71847534179688,6861582.628079052,500611.0,-29032829.618243214,-28994629.742997605,6864650.243211799
2024-07-01 13:10:24+00:00,1719839424,26.22369384765625,6866006.048512334,492017.9937496185,-28983567.404176496,-28994959.512160465,6876317.815566109
2024-07-01 13:20:24+00:00,1719840024,-11.79428005218506,6873433.522134011,496183.19999980927,-28971444.25227596,-28995127.020294625,6879195.222873407
2024-07-01 13:30:25+00:00,1719840625,-49.48231506347656,6880187.6872602245,514367.9562499523,-29014660.334690034,-28995130.83961533,6868948.958941143
2024-07-01 13:40:25+00:00,1719841225,-82.28028106689453,6885251.061408862,528109.8875007629,-29046914.13739509,-28994604.674165025,6861321.652182675
2024-07-01 13:50:25+00:00,1719841825,-53.75031661987305,6887915.564329589,523647.875,-29020734.456911474,-28995416.196324825,6867511.268397116
2024-07-01 14:00:25+00:00,1719842425,-16.26751708984375,6885899.943614952,509428.79999923706,-28974131.429827098,-28994758.84776609,6878557.21862408
2024-07-01 14:10:25+00:00,1719843025,21.622020721435547,6878027.304115023,502774.1187496185,-28979062.71212937,-28995168.271804325,6877386.714670438
2024-07-01 14:20:25+00:00,1719843625,59.11911010742188,6867810.777172959,505392.2250003815,-29027196.31217268,-28994613.90984402,6865982.465430965
2024-07-01 14:30:25+00:00,1719844225,79.18289947509764,6861764.566406684,504253.28125,-29045862.42073613,-28994430.735206783,6861570.092603536
2024-07-01 14:40:25+00:00,1719844825,43.57244491577149,6863241.872960184,495222.44374990463,-29006238.249392245,-28994944.44497409,6870943.387640962
2024-07-01 14:50:25+00:00,1719845425,5.6058549880981445,6869941.196774713,492006.6625003815,-28969111.55560497,-28995417.766828828,6879749.160323807
2024-07-01 15:00:26+00:00,1719846026,-32.333866119384766,6877330.207639787,505276.2000007629,-28991102.767874006,-28995134.399529453,6874530.523925124
2024-07-01 15:10:26+00:00,1719846626,-69.27320861816406,6883206.300785219,523756.9375,-29038273.64080768,-28994666.85168445,6863363.275836139
2024-07-01 15:20:26+00:00,1719847226,-70.30216217041016,6887171.866401621,527973.0250015259,-29039461.07453432,-28994981.974008117,6863082.630509733
2024-07-01 15:30:26+00:00,1719847826,-33.51959609985352,6887612.20738588,515960.73749923706,-28992775.992048405,-28995275.24980355,6874133.782658837
2024-07-01 15:40:26+00:00,1719848426,4.2811384201049805,6882314.531194913,504295.7687500119,-28968770.96359889,-28995252.277132995,6879830.046999006
2024-07-01 15:50:26+00:00,1719849026,42.08050155639648,6872434.211466849,503859.98749923706,-29004456.000013627,-28995311.237135112,6871365.58947723
2024-07-01 16:00:26+00:00,1719849626,77.99627685546875,6863765.075757902,506080.77500009537,-29044979.30891465,-28994254.19406779,6861778.718459256
2024-07-01 16:10:26+00:00,1719850226,60.61834716796875,6861771.420189935,499840.5687503815,-29029325.720284693,-28994794.30588184,6865478.820292952
2024-07-01 16:20:26+00:00,1719850826,23.070638656616207,6866623.81060948,491748.6812496185,-28980679.73255885,-28995432.55740473,6877002.980578564
2024-07-01 16:30:26+00:00,1719851426,-15.012969970703123,6874123.456749,497410.83125019073,-28973643.09825521,-28995288.64672545,6878673.152151925
2024-07-01 16:40:27+00:00,1719852027,-52.6302604675293,6880722.98941401,516053.33125019073,-29019222.23307995,-28995345.96748005,6867869.142020327
2024-07-01 16:50:27+00:00,1719852627,-82.51455688476561,6885627.652940358,528509.5875015259,-29046890.61351385,-28994502.18782007,6861327.208884694
