datetime,lat_deg,resid_H1_m,resid_H2_km,resid_H3_km
2024-07-01 11:20:23+00:00,81.24025726318358,-14.123437355272472,20.852049962317324,13.715049962317607
2024-07-01 11:30:23+00:00,46.70041275024414,58.43386580888182,11.295802026022102,4.158802026022386
2024-07-01 11:40:24+00:00,8.841400146484375,52.19148123823106,0.5268876153177189,-6.610112384681997
2024-07-01 11:50:24+00:00,-29.12374687194824,-6.091552881523967,5.022409368432818,-2.114590631566898
2024-07-01 12:00:24+00:00,-66.25137329101562,-80.21605160925537,17.80226408483577,10.665264084836053
2024-07-01 12:10:24+00:00,-73.22125244140625,-146.44648113194853,19.5053425431106,12.368342543110884
2024-07-01 12:20:24+00:00,-36.70940399169922,-140.0927694113925,7.449528508649564,0.31252850864984794
2024-07-01 12:30:24+00:00,1.06100332736969,-91.76810076553375,-0.14399346240406885,-7.280993462403785
2024-07-01 12:40:24+00:00,38.891693115234375,-61.425585745833814,8.296402238450355,1.1594022384506388
2024-07-01 12:50:24+00:00,75.33544158935547,-35.48787249904126,19.972985496539877,12.835985496540161
2024-07-01 13:00:24+00:00,63.71847534179688,-22.92258839868009,17.07644933254869,9.939449332548975
2024-07-01 13:10:24+00:00,26.22369384765625,-66.74180500488728,4.069803432660592,-3.067196567339124
2024-07-01 13:20:24+00:00,-11.79428005218506,-113.30807583872229,0.7891697901495718,-6.3478302098501445
2024-07-01 13:30:25+00:00,-49.48231506347656,-120.56695411447436,12.194902035660562,5.057902035660845
2024-07-01 13:40:25+00:00,-82.28028106689453,-84.40623347368091,20.949219857664502,13.812219857664786
2024-07-01 13:50:25+00:00,-53.75031661987305,-17.62992008496076,13.872180750326152,6.735180750326435
2024-07-01 14:00:25+00:00,-16.26751708984375,63.38965169619769,1.6934460367438078,-5.4435539632559085
2024-07-01 14:10:25+00:00,21.622020721435547,91.30660020466894,2.950221235180834,-4.186778764818882
2024-07-01 14:20:25+00:00,59.11911010742188,41.49734261073172,15.787845169651519,8.650845169651802
2024-07-01 14:30:25+00:00,79.18289947509764,-12.068612031638622,20.583146231283536,13.446146231284729
