gpsUtcTime,gps_altitude,gps_x,gps_y,gps_z,gps_lat,gps_lon,gps_alt,time,tle_altitude,tle_x,tle_y,tle_z,tle_lat,tle_lon,tle_alt,tle_gps_diff
2024-07-28 00:06:51+00:00,481.3654756484793,-2784.6295649934727,285.8400625530813,6262.340445698519,66.04808044433594,174.13916015625,499202.375,2024-07-28T00:06:51Z,481.7189735483144,-2199.605373789007,5.6488991801213615,6497.640207595606,71.40586711935832,179.85285661954234,500913.91800604295,0.35349789983513347
2024-07-28 00:16:52+00:00,490.4756130606902,-5619.032656857953,2191.014431175079,3286.908424620739,28.74039459228516,158.6978302001953,495389.9375,2024-07-28T00:16:52Z,489.47900430579466,-5325.959028181414,1969.073084601452,3862.778947885588,34.392510884744404,159.71002177426587,496265.4320600042,-0.9966087548955329
2024-07-28 00:26:52+00:00,500.0819222148184,-5933.188866718155,3302.901227934353,-1094.5359255298392,-9.21265697479248,150.89608764648438,500625.84375,2024-07-28T00:26:52Z,498.5656314145936,-6040.004659628689,3260.29473192562,-421.7357627071144,-3.537965003988844,151.64055948913443,498646.4278222677,-1.5162908002247946
2024-07-28 00:36:52+00:00,505.54854886546127,-3699.8225716000047,2930.865893308263,-5010.635168297596,-46.88826370239258,141.61500549316406,516903.125,2024-07-28T00:36:52Z,504.02059430864665,-4141.516471720196,3116.758886587332,-4527.443926792397,-41.31281254290833,143.03617421518814,513299.0644981936,-1.5279545568146204
2024-07-28 00:46:52+00:00,506.1289049231218,3.254623760472539,1058.771159027803,-6802.360626276886,-81.20685577392578,89.8238754272461,527010.0,2024-07-28T00:46:52Z,505.0393140876176,-574.2058685981451,1417.6922064601813,-6711.0768583757335,-77.23750127371497,112.0493544725798,525372.5435662065,-1.0895908355042252
2024-07-28 00:56:52+00:00,503.2309646585272,3502.6176894632467,-1571.5755002291407,-5710.958311314075,-56.25471878051758,-24.16510581970215,517980.65625,2024-07-28T00:56:52Z,503.0024366550906,3046.311901506524,-1192.6571315356591,-6053.7288270971285,-61.76161279693715,-21.38076750333465,519570.5133593306,-0.22852800343662238
2024-07-28 01:06:52+00:00,497.1108901745292,5312.493105101584,-3770.700383771205,-2197.3322860744406,-18.7470932006836,-35.366363525390625,499304.15625,2024-07-28T01:06:52Z,498.1543866187967,5164.2923222565,-3550.6966087138985,-2829.4914095713457,-24.43221320724548,-34.51037351225063,501788.9398272764,1.0434964442675323
2024-07-28 01:16:52+00:00,488.2867312159742,4743.603674375319,-4424.058313470722,2252.489084561668,19.261087417602536,-43.00372314453125,490597.375,2024-07-28T01:16:52Z,490.4302680203218,4948.717231059614,-4486.418104244907,1599.833327643023,13.550245132417157,-42.194886837008376,491595.4438612908,2.1435368043476046
2024-07-28 01:26:52+00:00,480.5105220076639,2186.695859622822,-3057.176348882788,5736.992227681852,56.9317741394043,-54.42512893676758,495493.125,2024-07-28T01:26:52Z,482.7103256640676,2634.2112363345104,-3402.538784719713,5343.677292550411,51.33112581746915,-52.25332452417058,495706.1707965387,2.1998036564037307
2024-07-28 01:36:52+00:00,479.2598580035565,-1113.13126555628,-132.60033834301737,6765.149488671292,80.6488265991211,-173.20672607421875,500075.59375,2024-07-28T01:36:52Z,480.24661810312136,-632.2252994501447,-626.6283112310731,6800.371606270066,82.58829671452034,-135.25474104945192,501272.67387697473,0.98676009956489
2024-07-28 01:46:52+00:00,485.9643600352029,-3670.093726246451,3104.8652451793973,4899.603180940334,45.72348403930664,139.7690887451172,496884.4375,2024-07-28T01:46:52Z,485.4271041509282,-3363.9634336078007,2678.267887020199,5349.686285614803,51.382830620146976,141.4744453777402,498441.819235024,-0.5372558842747139
2024-07-28 01:56:53+00:00,496.1123138751809,-4434.86383857363,5167.872641611692,938.284990131858,7.893358230590819,130.6348876953125,496512.5,2024-07-28T01:56:53Z,494.7133065660655,-4419.403035338597,5013.103751562987,1604.2876686462348,13.579993161318733,131.39844088813263,495883.5142839886,-1.3990073091154045
